id,buildingSubtype,buildingType,isNewConstruction,price,rawPrice,reducedPrice,country,regionLevel1,regionLevel2,province,municipality,district,neighborhood,zipCode,latitude,longitude,accuracy,bathrooms,conservationState,floor,air_conditioner,heating,elevator,balcony,rooms,surface,heater,terrace,parking,swimming_pool
160866662,Flat,Flat,False,1.850.000 €,1850000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28014,40.4118,-3.674746,0,3.0,,,,,1.0,,3.0,195.0,,,,
163045180,Flat,Flat,False,460.000 €,460000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40392,-3.67785,0,2.0,,7.0,,,,,3.0,109.0,1.0,1.0,,
162520631,Flat,Flat,False,1.490.000 €,1490000,60.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Niño Jesús,28007,40.41102,-3.671524,1,2.0,,10.0,1.0,,1.0,,3.0,224.0,1.0,,,
162177460,Flat,Flat,False,710.000 €,710000,50.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41795,-3.677979,0,1.0,1.0,,1.0,,1.0,,2.0,90.0,1.0,,,
162542962,Flat,Flat,False,1.550.000 €,1550000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41858,-3.691546,0,4.0,,6.0,1.0,,1.0,,3.0,200.0,,,,
163035951,Attic,Flat,False,1.100.000 €,1100000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41951,-3.670847,0,2.0,1.0,,1.0,,1.0,1.0,2.0,127.0,1.0,1.0,,
159787332,Flat,Flat,False,273.000 €,273000,26.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40177,-3.675245,0,1.0,,6.0,1.0,,,1.0,2.0,78.0,1.0,,,
154588424,Flat,Flat,False,1.350.000 €,1350000,200.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41593,-3.679224,0,2.0,,6.0,1.0,,1.0,,4.0,181.0,1.0,1.0,,
162927709,Flat,Flat,False,180.000 €,180000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40585,-3.679747,0,1.0,4.0,8.0,,,1.0,,2.0,43.0,,,,
158062572,Flat,Flat,False,690.000 €,690000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41966,-3.672755,0,2.0,,6.0,,,1.0,,3.0,106.0,,,,
163020770,Flat,Flat,False,3.100.000 €,3100000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41413,-3.688628,0,4.0,,7.0,1.0,,1.0,1.0,3.0,266.0,1.0,,,
163017306,Flat,Flat,False,310.000 €,310000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.40805,-3.688153,0,1.0,4.0,,,,1.0,,3.0,74.0,,,,
156927861,Flat,Flat,False,798.000 €,798000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41862,-3.677157,0,2.0,1.0,8.0,1.0,,1.0,,2.0,115.0,1.0,,,
162689487,Flat,Flat,False,1.850.000 €,1850000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41574,-3.691445,0,3.0,4.0,7.0,1.0,,1.0,1.0,4.0,335.0,1.0,1.0,1.0,
163002859,Flat,Flat,False,230.000 €,230000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40568,-3.675165,0,1.0,4.0,7.0,,,1.0,1.0,2.0,57.0,,,,
163001337,Flat,Flat,False,430.500 €,430500,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40675,-3.67342,0,2.0,,11.0,,,1.0,,2.0,103.0,1.0,,,
