id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4121,2500000,0,EXTERIOR,7,235.0,False,True,HISPANOAMERICA,54,CHAMARTIN,5
4122,415000,13,EXTERIOR,1,71.0,True,True,CASTILLA,56,CHAMARTIN,5
4123,395000,4,EXTERIOR,3,89.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4124,950000,5,EXTERIOR,3,119.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4125,425000,5,INTERIOR,2,90.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4126,429000,0,EXTERIOR,4,92.0,True,False,EL VISO,51,CHAMARTIN,5
4127,650000,7,EXTERIOR,2,110.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4128,470000,3,INTERIOR,3,89.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4129,1100000,7,EXTERIOR,4,172.0,True,False,EL VISO,51,CHAMARTIN,5
4130,3000000,4,EXTERIOR,4,310.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4131,2975000,0,EXTERIOR,5,308.0,False,True,EL VISO,51,CHAMARTIN,5
4132,840000,4,EXTERIOR,3,180.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4133,293000,0,EXTERIOR,1,63.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4134,419000,4,EXTERIOR,1,58.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4135,401500,0,EXTERIOR,2,94.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4136,999999,1,EXTERIOR,6,251.0,True,True,CASTILLA,56,CHAMARTIN,5
4137,485000,5,EXTERIOR,3,120.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4138,201200,0,EXTERIOR,2,58.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4139,670000,5,EXTERIOR,2,132.0,True,True,CASTILLA,56,CHAMARTIN,5
4140,485000,5,EXTERIOR,2,70.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4141,1250000,1,EXTERIOR,5,290.0,True,True,EL VISO,51,CHAMARTIN,5
4142,1200000,5,EXTERIOR,4,237.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4143,1490000,8,EXTERIOR,4,184.0,True,False,EL VISO,51,CHAMARTIN,5
4144,3995000,0,EXTERIOR,8,482.0,False,True,EL VISO,51,CHAMARTIN,5
4145,2800000,3,EXTERIOR,5,481.0,True,True,EL VISO,51,CHAMARTIN,5
4146,455000,5,EXTERIOR,3,87.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4147,515000,1,EXTERIOR,2,85.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4148,675000,1,EXTERIOR,3,105.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4149,335000,1,EXTERIOR,1,55.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4150,370000,0,EXTERIOR,1,73.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4151,790000,2,EXTERIOR,3,112.0,True,False,EL VISO,51,CHAMARTIN,5
4152,340000,0,EXTERIOR,2,48.0,True,False,EL VISO,51,CHAMARTIN,5
4153,1100000,0,EXTERIOR,4,179.0,True,False,EL VISO,51,CHAMARTIN,5
4154,2000000,1,EXTERIOR,4,450.0,True,False,EL VISO,51,CHAMARTIN,5
4155,440000,1,EXTERIOR,4,120.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4156,630000,4,EXTERIOR,2,103.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4157,950000,3,EXTERIOR,4,162.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4158,1150000,0,EXTERIOR,5,187.0,False,False,CASTILLA,56,CHAMARTIN,5
4159,900000,4,EXTERIOR,1,130.0,True,True,EL VISO,51,CHAMARTIN,5
4160,8770000,0,EXTERIOR,7,897.0,False,True,EL VISO,51,CHAMARTIN,5
4161,2200000,1,EXTERIOR,6,400.0,True,False,EL VISO,51,CHAMARTIN,5
4162,950000,1,EXTERIOR,3,127.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4163,850000,4,EXTERIOR,4,128.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
