id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,geometry
1615,EDUCACION TERCIARIA NO UNIVERSITARIA,TERCIARIA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    ALMANSA                                           ,47,439982.62,4477820.5,POINT (-3.7077647094639024 40.44887598716151)
1616,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    INFANTA MERCEDES                                  ,47,440809.62,4478703.5,POINT (-3.6980951845919634 40.456889723709075)
1617,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    MARTIRES DE LA VENTILLA                           ,34,441374.62,4480264.5,POINT (-3.6915762119698154 40.470991917970885)
1618,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,ALMENARA            ,4,TETUAN              ,6,CALLE                    DELFIN                                            ,2,441175.62,4479816.5,POINT (-3.693882019937162 40.46694208198074)
1619,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,ALMENARA            ,4,TETUAN              ,6,AVENIDA                  ASTURIAS                                          ,70,440718.62,4480484.5,POINT (-3.6993347535327126 40.472927205916314)
1620,AUTOESCUELA,AUTOESCUELA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    BRAVO MURILLO                                     ,164,440401.62,4478283.5,POINT (-3.7028673932072245 40.4530770308605)
1621,CENTROS PRIVADOS DE EDUCACION PRIMARIA,PRIMARIA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    EDGAR NEVILLE                                     ,24,440932.6,4477952.5,POINT (-3.6965749854387764 40.4501331446768)
1622,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    JOAQUIN DICENTA                                   ,6,441095.62,4480300.5,POINT (-3.694870558286838 40.47129648218479)
1623,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    PADRE RUBIO                                       ,24,441270.62,4480230.5,POINT (-3.6927998186180657 40.470678285417215)
1624,AUTOESCUELA,AUTOESCUELA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,PLAZA                    CUATRO AMIGOS                                     ,7,441432.62,4479765.5,POINT (-3.6908459952374106 40.466500810633335)
1625,CENTROS PUBLICOS DE EDUCACION PRIMARIA,PRIMARIA,PUBLICO,ALMENARA            ,4,TETUAN              ,6,CALLE                    DELFIN                                            ,2,0.0,0.0,POINT (-7.488743884387038 0)
1626,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    HERMANO GARATE                                    ,8,440995.62,4478987.5,POINT (-3.6959280413086812 40.459461342183786)
1627,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    PADRE RUBIO                                       ,14,441339.62,4480199.5,POINT (-3.6919830514711505 40.470403900367465)
1628,AUTOESCUELA,AUTOESCUELA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    PINOS ALTA                                        ,58,440806.62,4479966.5,POINT (-3.6982483675484956 40.46826713217354)
1629,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    FRANCISCO MEDRANO                                 ,4,440712.62,4478886.5,POINT (-3.69925621992826 40.45853134945907)
1630,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    ALEJANDRO RODRIGUEZ                               ,34,439674.62,4478648.5,POINT (-3.7114752516836274 40.45631264839162)
1631,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    FRANCOS RODRIGUEZ                                 ,5,440303.62,4478506.5,POINT (-3.7040440310398255 40.455078873941446)
1632,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    ORENSE                                            ,87,441144.62,4479224.5,POINT (-3.6941927582609115 40.461606904552376)
1633,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,ALMENARA            ,4,TETUAN              ,6,CALLE                    DELFIN                                            ,2,441175.62,4479816.5,POINT (-3.693882019937162 40.46694208198074)
1634,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    SAN BENITO                                        ,6,441477.62,4479982.5,POINT (-3.690335238839537 40.468458808432395)
1635,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,BERRUGUETE          ,6,TETUAN              ,6,CALLE                    VILLAAMIL                                         ,18,440097.62,4478865.5,POINT (-3.706507243968354 40.4582980687134)
1636,CENTROS PUBLICOS DE EDUCACION PRIMARIA,PRIMARIA,PUBLICO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    ORENSE                                            ,87,441144.62,4479224.5,POINT (-3.6941927582609115 40.461606904552376)
1637,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,VALDEACEDERAS       ,5,TETUAN              ,6,CALLE                    MARQUES DE VIANA                                  ,58,440380.62,4479416.5,POINT (-3.70322145171221 40.46328205052277)
1638,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    HERNANI                                           ,36,440613.6,4477733.5,POINT (-3.700316169973995 40.44813757019203)
1639,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,ALMENARA            ,4,TETUAN              ,6,AVENIDA                  ASTURIAS                                          ,72,440808.62,4480524.5,POINT (-3.698276842835457 40.47329396037848)
1640,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    PADRE RUBIO                                       ,14,441339.62,4480199.5,POINT (-3.6919830514711505 40.470403900367465)
1641,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,AVENIDA                  GENERAL PERON                                     ,40,0.0,0.0,POINT (-7.488743884387038 0)
1642,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    AVILA                                             ,4,440491.6,4478239.5,POINT (-3.7018021750486416 40.45268710758558)
1643,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,PLAZA                    SAN AMARO                                         ,7,440951.6,4478531.5,POINT (-3.696404782351317 40.455350375022846)
1644,EDUCACION TERCIARIA NO UNIVERSITARIA,TERCIARIA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    ADELA BALBOA                                      ,16,440031.62,4477755.5,POINT (-3.707180772992321 40.44829397647756)
1645,AUTOESCUELA,AUTOESCUELA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,AVENIDA                  GENERAL PERON                                     ,14,440861.6,4478191.5,POINT (-3.6974344801218746 40.452281111124584)
1646,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,AVENIDA                  REINA VICTORIA                                    ,8,440188.6,4477624.5,POINT (-3.705317372962552 40.44712518288495)
1647,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    SAN LEOPOLDO                                      ,8,0.0,0.0,POINT (-7.488743884387038 0)
1648,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    CICERON                                           ,8,440571.6,4477666.5,POINT (-3.700805151845906 40.44753100406417)
1649,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    SAN VALERIANO                                     ,4,440004.62,4478022.5,POINT (-3.7075243737374084 40.45069727450083)
1650,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    CARLOS RUBIO                                      ,4,440126.62,4477958.5,POINT (-3.706079699485417 40.450129532582665)
1651,CENTROS DE CUIDADO INFANTIL,INFANTIL,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,AVENIDA                  DOCTOR FEDERICO RUBIO Y GALI                      ,12,439906.62,4477830.5,POINT (-3.708661833075736 40.4489605807292)
1652,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    FRANCOS RODRIGUEZ                                 ,57,439860.62,4478698.5,POINT (-3.709286471175916 40.45677654881577)
1653,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,AVENIDA                  PABLO IGLESIAS                                    ,50,439790.62,4477956.5,POINT (-3.7100416302997825 40.45008724637522)
1654,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    LEÃEROS                                           ,27,439810.62,4478406.5,POINT (-3.709848446475754 40.45414247661236)
1655,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    PALENCIA                                          ,31,440540.6,4477921.5,POINT (-3.7011945659108187 40.44982593609116)
1656,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    SAN BENITO                                        ,72,440825.62,4480348.5,POINT (-3.69805989020691 40.47170969420987)
1657,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    EDGAR NEVILLE                                     ,30,440942.6,4478128.5,POINT (-3.696473433568833 40.451719339195236)
1658,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    REINA MERCEDES                                    ,3,440719.6,4478072.5,POINT (-3.699097895076548 40.451198993138895)
1659,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,BERRUGUETE          ,6,TETUAN              ,6,CALLE                    LOS MOLINOS                                       ,13,440419.62,4478848.5,POINT (-3.7027081522326686 40.458168074396255)
1660,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,BERRUGUETE          ,6,TETUAN              ,6,CALLE                    LOS MOLINOS                                       ,13,440419.62,4478848.5,POINT (-3.7027081522326686 40.458168074396255)
1661,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    JAEN                                              ,40,440717.6,4477935.5,POINT (-3.699108689684663 40.44996469597187)
1662,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    GENERAL RAMIREZ DE MADRID                         ,18,440842.6,4478544.5,POINT (-3.697691427133862 40.455459733038)
1663,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    DULCINEA                                          ,4,440648.6,4477633.5,POINT (-3.6998941153134774 40.44723922674334)
1664,CENTROS DE CUIDADO INFANTIL,INFANTIL,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    FRANCISCO CABO                                    ,16,441008.62,4479770.5,POINT (-3.69584750804983 40.46651585345238)
1665,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    ANTONIO                                           ,29,441048.62,4479912.5,POINT (-3.695388904667459 40.46779788681703)
1666,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    SAN AQUILINO                                      ,19,441558.62,4480267.5,POINT (-3.6894060756844884 40.471031909316686)
1667,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    HERMANOS DE ANDRES                                ,16,441451.62,4480301.5,POINT (-3.69067135657554 40.47133066017601)
1668,CENTROS DE CUIDADO INFANTIL,INFANTIL,PRIVADO,VALDEACEDERAS       ,5,TETUAN              ,6,CALLE                    AZUCENAS                                          ,33,440643.62,4479466.5,POINT (-3.7001242157329095 40.463751300951664)
