id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,geometry
0,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    VENTORRILLO                                       ,14,440134.6,4473142.5,POINT (-3.705532075436818 40.40674541694838)
1,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SOMBRERETE                                        ,12,440399.6,4473338.5,POINT (-3.7024275488388887 40.40853009431067)
2,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PALMA                                             ,46,440111.6,4475344.5,POINT (-3.706010438000394 40.42658040731769)
3,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PEZ                                               ,12,440215.6,4474986.5,POINT (-3.704750832744599 40.42336286007573)
4,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ESPIRITU SANTO                                    ,23,440229.6,4475220.5,POINT (-3.704607806117053 40.42547184497286)
5,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SANTA CRUZ DE MARCENADO                           ,31,439502.6,4475676.5,POINT (-3.7132208665507758 40.42952714496886)
6,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ANDRES BORREGO                                    ,10,440058.6,4474986.5,POINT (-3.706601447797168 40.42335156424239)
7,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    MORATIN                                           ,11,440819.6,4473759.5,POINT (-3.697517095040592 40.41235263394289)
8,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,RONDA                    SEGOVIA                                           ,59,439245.6,4473348.5,POINT (-3.7160281091928513 40.408536758345)
9,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MIRA EL SOL                                       ,23,439977.6,4473121.5,POINT (-3.707380254378875 40.40654493435401)
10,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ANDRES BORREGO                                    ,4,440046.6,4474958.5,POINT (-3.7067402560876133 40.42309846290144)
11,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    LUIS DE GONGORA                                   ,5,440896.6,4474961.5,POINT (-3.6967213068467046 40.42318630191865)
12,ESCUELAS INFANTILES DE SEGUNDO CICLO,INFANTIL,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    LUIS DE GONGORA                                   ,5,440896.6,4474961.5,POINT (-3.6967213068467046 40.42318630191865)
13,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    FUENCARRAL                                        ,97,440458.6,4475456.5,POINT (-3.701930516892436 40.42761426172996)
14,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    RUDA                                              ,6,439943.6,4473555.5,POINT (-3.707821883907266 40.410452161028026)
15,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,PLAZA                    ESPAÃA                                            ,6,439610.6,4474907.5,POINT (-3.711874675469269 40.42260750149725)
16,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    ANGOSTA DE LOS MANCEBOS                           ,2,439487.6,4473807.5,POINT (-3.7132198519872066 40.41268926888308)
17,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    EMBAJADORES                                       ,3,440036.6,4473574.5,POINT (-3.7067276600068286 40.41063002660789)
18,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    CALATRAVA                                         ,36,439476.6,4473515.5,POINT (-3.7133217160751126 40.41005799851765)
19,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    SEGOVIA                                           ,19,439512.6,4473929.5,POINT (-3.7129368143551904 40.413790118009146)
20,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    TESORO                                            ,14,440188.56,4475179.5,POINT (-3.7050877175865056 40.42509954889461)
21,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CALVARIO                                          ,16,440428.6,4473662.5,POINT (-3.702116123509001 40.411450919178634)
22,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MIRA EL SOL                                       ,5,440160.6,4473224.5,POINT (-3.7052333898476504 40.40748598181167)
23,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    MONTELEON                                         ,24,440220.6,4475605.5,POINT (-3.7047500968740237 40.42893945271835)
24,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    FOMENTO                                           ,31,439677.6,4474849.5,POINT (-3.7110794303958077 40.42208987158929)
25,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    ECHEGARAY                                         ,8,440640.6,4474146.5,POINT (-3.699662801078323 40.41582617077249)
26,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    MEDIODIA GRANDE                                   ,9,439662.6,4473503.5,POINT (-3.711128564292567 40.409963399785205)
27,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    FARMACIA                                          ,5,440605.6,4475051.5,POINT (-3.7001598304436203 40.42397634198942)
28,EDUCACION UNIVERSITARIA PUBLICA,UNIVERSITARIA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,RONDA                    TOLEDO                                            ,1,439671.6,4473142.5,POINT (-3.710988275385101 40.40671199435408)
29,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SAN CAYETANO                                      ,3,440062.6,4473433.5,POINT (-3.706407964836953 40.40936170395884)
30,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CABESTREROS                                       ,5,440238.6,4473429.5,POINT (-3.7043334438088595 40.40933832380249)
31,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    EMBAJADORES                                       ,29,440183.6,4473362.5,POINT (-3.704975315919223 40.40873080528427)
32,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    HUERTA DEL BAYO                                   ,15,440093.6,4473234.5,POINT (-3.70602389856876 40.40757124799087)
33,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SANTA CRUZ DE MARCENADO                           ,1,440003.6,4475585.5,POINT (-3.707306276767373 40.42874366152021)
34,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MIRA EL SOL                                       ,23,0.0,0.0,POINT (-7.488743884387038 0)
35,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    ESTUDIOS                                          ,1,439990.6,4473746.5,POINT (-3.7072859984770945 40.41217616895592)
36,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    CHURRUCA                                          ,14,440542.6,4475465.5,POINT (-3.700941157254434 40.42770134569921)
37,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP","PRIMARIA, SECUNDARIA, BACH, FP",CONCERTADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,78,440413.6,4473154.5,POINT (-3.7022453332878467 40.40687353469791)
38,CENTROS PUBLICOS DE EDUCACION PRIMARIA,PRIMARIA,PUBLICO,PALACIO             ,1,CENTRO              ,1,CALLE                    REDONDILLA                                        ,13,439506.6,4473754.5,POINT (-3.712990888597946 40.41221320161803)
39,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    ANGEL                                             ,10,439552.6,4473520.5,POINT (-3.712426529659177 40.410108563165444)
40,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    SIERPE                                            ,3,439764.6,4473510.5,POINT (-3.7099271561104956 40.41003384620653)
41,AUTOESCUELA,AUTOESCUELA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    PELAYO                                            ,9,440708.6,4474859.5,POINT (-3.6989278173284714 40.422254062088875)
42,CENTRO DE EDUCACION DE PERSONAS ADULTAS (CEPA),ADULTOS,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN ANDRES                                        ,34,440331.6,4475493.5,POINT (-3.7034310791938094 40.4279384751741)
43,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SANTA ISABEL                                      ,5,0.0,0.0,POINT (-7.488743884387038 0)
44,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    TAMAYO Y BAUS                                     ,7,441204.6,4474950.5,POINT (-3.693089784036057 40.42310903033786)
45,AUTOESCUELA,AUTOESCUELA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    BAILEN                                            ,26,439413.6,4473645.5,POINT (-3.7140765505624067 40.41122451541925)
46,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    PROVISIONES                                       ,26,440349.6,4473162.5,POINT (-3.7030002903856283 40.40694101939182)
47,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,70,440078.6,4475391.5,POINT (-3.7064038690707433 40.42700142826501)
48,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    APODACA                                           ,16,440598.6,4475416.5,POINT (-3.7002764436985807 40.427263931628566)
49,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN ANDRES                                        ,36,440334.6,4475510.5,POINT (-3.7033973102172726 40.428091834068056)
50,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    MANUELA MALASAÃA                                  ,24,440207.6,4475604.5,POINT (-3.704903251153431 40.428929509964554)
51,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    ALBERTO AGUILERA                                  ,15,439820.6,4475703.5,POINT (-3.7094747045337577 40.429793439035095)
52,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,RONDA                    SEGOVIA                                           ,39,439129.6,4473519.5,POINT (-3.717411496995155 40.41006873042051)
53,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN VICENTE FERRER                                ,82,439894.6,4475311.5,POINT (-3.7085652956275466 40.42626747915075)
54,EDUCACION UNIVERSITARIA PUBLICA,UNIVERSITARIA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SERRANO ANGUITA                                   ,9,440749.6,4475445.5,POINT (-3.6984991500058357 40.42753594527687)
55,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    MADERA                                            ,7,440166.6,4474906.5,POINT (-3.705320885816168 40.422638661136574)
56,ESCUELAS INFANTILES DE SEGUNDO CICLO,INFANTIL,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,PLAZA                    COMENDADORAS                                      ,10,439863.6,4475436.5,POINT (-3.708942542796368 40.42739129458895)
57,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,PLAZA                    COMENDADORAS                                      ,10,439863.6,4475436.5,POINT (-3.708942542796368 40.42739129458895)
58,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP","PRIMARIA, SECUNDARIA, BACH, FP",CONCERTADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    HORTALEZA                                         ,77,440817.6,4475210.5,POINT (-3.697675683412252 40.425423795721954)
59,ESCUELAS INFANTILES DE SEGUNDO CICLO,INFANTIL,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    HORTALEZA                                         ,77,440817.6,4475210.5,POINT (-3.697675683412252 40.425423795721954)
60,EDUCACION TERCIARIA NO UNIVERSITARIA,TERCIARIA,PRIVADO,CORTES              ,3,CENTRO              ,1,PLAZA                    SANTA ANA                                         ,13,440508.6,4473984.5,POINT (-3.7012034102293017 40.41435737199441)
61,CENTROS PRIVADOS DE EDUCACION PRIMARIA,PRIMARIA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    OSO                                               ,15,440178.6,4473452.5,POINT (-3.705042700851522 40.40954120924435)
62,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    MARQUES DE CUBAS                                  ,8,440985.6,4474274.5,POINT (-3.695608483888398 40.41700379243995)
63,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PEZ                                               ,13,440184.6,4475002.5,POINT (-3.7051177459820916 40.42350476736413)
64,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CUESTA                   SANTO DOMINGO                                     ,1,439867.6,4474634.5,POINT (-3.708819546995928 40.420166806623804)
65,CENTROS PRIVADOS CONCERTADOS DE EDUCACION PRIMARIA,OTRO,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    OSO                                               ,23,440150.6,4473435.5,POINT (-3.7053710804310316 40.409386052453335)
66,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SAN MARCOS                                        ,39,440905.6,4474744.5,POINT (-3.6965950552289377 40.42123210180666)
67,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    JUANELO                                           ,13,440130.6,4473637.5,POINT (-3.705625785180415 40.41120432676595)
68,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP","PRIMARIA, SECUNDARIA, BACH, FP",CONCERTADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PUEBLA                                            ,20,440311.6,4474866.5,POINT (-3.703607982109921 40.42228873705863)
69,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,7,0.0,0.0,POINT (-7.488743884387038 0)
70,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SANTA ISABEL                                      ,42,440827.6,4473505.5,POINT (-3.69739918943132 40.41006504572912)
71,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    EMBAJADORES                                       ,68,440308.6,4473099.5,POINT (-3.703477545805271 40.4063705459703)
72,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    SANTA ISABEL                                      ,50,440997.6,4473327.5,POINT (-3.6953792240668695 40.40847360000206)
73,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    PRADO                                             ,40,441177.6,4473532.5,POINT (-3.6932769124002447 40.410333081431176)
74,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,SOL                 ,6,CENTRO              ,1,CALLE                    ADUANA                                            ,3,440434.6,4474410.5,POINT (-3.702115450291166 40.41818968966274)
75,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CORTES              ,3,CENTRO              ,1,CALLE                    HUERTAS                                           ,43,440782.6,4473885.5,POINT (-3.697964884821221 40.41348507193886)
76,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    BARQUILLO                                         ,12,440989.6,4474691.5,POINT (-3.695600028416039 40.420760613720574)
77,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    LIBERTAD                                          ,7,440831.6,4474667.5,POINT (-3.697460129809994 40.42053319038895)
78,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    HERNAN CORTES                                     ,18,440668.6,4474973.5,POINT (-3.699409941176627 40.4232781763888)
79,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SAN MATEO                                         ,8,440630.6,4475189.5,POINT (-3.699878028794374 40.42522129463648)
80,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MIRA EL SOL                                       ,11,440115.6,4473205.5,POINT (-3.705761908390309 40.407311584855506)
81,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,71,440414.6,4473180.5,POINT (-3.7022359831541256 40.4071078269945)
82,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SANTA CRUZ DE MARCENADO                           ,26,439519.6,4475699.5,POINT (-3.7130226517853706 40.42973557510025)
83,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    CONDE DUQUE                                       ,6,439652.6,4475276.5,POINT (-3.71141463383841 40.42593466477658)
84,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    PEZ                                               ,27,440071.6,4475047.5,POINT (-3.706453961234755 40.423902016456545)
85,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    LUNA                                              ,3,440106.6,4474838.5,POINT (-3.7060217150846215 40.42202176918456)
86,"CENTRO DE PRIMARIA, SECUNDARIA, BACHILLERATO Y/O FP PRIVADO","PRIMARIA, SECUNDARIA, BACH, FP",PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    VALVERDE                                          ,15,440446.6,4474782.5,POINT (-3.702008846494421 40.42154169923086)
87,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CALLE                    SAN NICOLAS                                       ,15,439570.6,4474262.5,POINT (-3.7122848787271137 40.4167941472159)
88,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    JUSTINIANO                                        ,8,441036.6,4475260.5,POINT (-3.69509880471462 40.425889769231766)
89,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    DOS DE MAYO                                       ,10,440275.6,4475344.5,POINT (-3.7040772187405677 40.42659219698808)
90,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EMBAJADORES         ,2,CENTRO              ,1,PLAZA                    CASCORRO                                          ,23,439981.6,4473655.5,POINT (-3.7073834828804273 40.4113557491035)
91,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PALACIO             ,1,CENTRO              ,1,CUESTA                   ANGELES                                           ,15,439915.6,4474594.5,POINT (-3.708250001936576 40.41980993560651)
92,"CENTRO PUBLICO DE SECUNDARIA, BACHILLERATO Y/O FP","SECUNDARIA, BACH, FP",PUBLICO,PALACIO             ,1,CENTRO              ,1,CALLE                    FOMENTO                                           ,9,439753.6,4474685.5,POINT (-3.7101680723198793 40.420617991849575)
