Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE ENTREVIAS FORESTAL;539.813,05;53,98
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;PARQUE LINEAL DE PALOMERAS;395.508,20;39,55
13;PUENTE DE VALLECAS;NUMANCIA;PARQUE EL CERRO DEL TIO PIO;159.018,23;15,90
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE DE ENTREVIAS;117.678,26;11,77
13;PUENTE DE VALLECAS;PORTAZGO;URB. ALBUFERA NORTE;95.218,39;9,52
13;PUENTE DE VALLECAS;ENTREVIAS;STA. CATALINA / ACCESO EMT;90.677,04;9,07
13;PUENTE DE VALLECAS;ENTREVIAS;FORESTAL COMUNIDAD DE MADRID;89.534,49;8,95
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;PARQUE PAYASO FOFO;76.819,87;7,68
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;PARQUE AZORIN;47.457,48;4,75
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE LA VIÑA;43.731,10;4,37
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE RONDA DEL SUR - STA. CATALINA;42.105,84;4,21
13;PUENTE DE VALLECAS;ENTREVIAS;ANILLO VERDE CICLISTA VALLECAS;40.869,09;4,09
13;PUENTE DE VALLECAS;PORTAZGO;SECTOR PALOMERAS NORTE;38.528,30;3,85
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;CAMPO DE LA PALOMA;38.146,82;3,81
13;PUENTE DE VALLECAS;ENTREVIAS;EL SOTO DE ENTREVIAS;33.490,69;3,35
13;PUENTE DE VALLECAS;ENTREVIAS;PLATAFORMA Y ZONA VERDE LTRL. AVDA. ENTREVIAS;30.779,26;3,08
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE FORESTAL RONDA DEL SUR;30.394,85;3,04
13;PUENTE DE VALLECAS;NUMANCIA;NUDO CALLE 30 - A3;23.969,43;2,40
13;PUENTE DE VALLECAS;ENTREVIAS;Z.F. POZO - LTRL M40;23.335,15;2,33
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;PARQUE PALOMERAS BAJAS;22.693,58;2,27
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;ENCACHADOS MADRID - SUR;22.452,20;2,25
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;CAMPO DEL TORO;20.897,47;2,09
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;COL. SIERRA DEL VALLE;20.436,20;2,04
13;PUENTE DE VALLECAS;PALOMERAS BAJAS;JARDINES FELIPE DE DIEGO;19.331,81;1,93
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE ENTREVIAS POZO;17.882,04;1,79
13;PUENTE DE VALLECAS;PORTAZGO;PZA. DE LA CONSTITUCION;17.717,14;1,77
13;PUENTE DE VALLECAS;NUMANCIA;TRASERA TEJAR DE LA PASTORA;17.124,93;1,71
13;PUENTE DE VALLECAS;PORTAZGO;MED. AVDA. BUENOS AIRES;13.571,45;1,36
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;COCHERON DE LA VILLA ESTE;13.004,37;1,30
13;PUENTE DE VALLECAS;NUMANCIA;PARQUE FERNANDO GIRALDEZ;12.111,10;1,21
13;PUENTE DE VALLECAS;ENTREVIAS;INTERIORES MUDELA;11.798,63;1,18
13;PUENTE DE VALLECAS;PORTAZGO;PARQUE DE MARCHAMALO;11.737,24;1,17
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;MED. MIGUEL HERNANDEZ;11.552,58;1,16
13;PUENTE DE VALLECAS;NUMANCIA;PTRRES. Y TRASERA SIERRA ELVIRA;11.420,68;1,14
13;PUENTE DE VALLECAS;ENTREVIAS;CALLE 30 MENDEZ ALVARO ACCESO SUR VALLECAS;11.409,52;1,14
13;PUENTE DE VALLECAS;PALOMERAS SURESTE;BULEVAR PABLO NERUDA - CENTRAL;11.332,83;1,13
13;PUENTE DE VALLECAS;ENTREVIAS;Z.A. ESTACION EL POZO;11.308,70;1,13
13;PUENTE DE VALLECAS;ENTREVIAS;PARQUE POZO DEL TIO RAIMUNDO;10.393,03;1,04
13;PUENTE DE VALLECAS;SAN DIEGO;PARQUE DE PALOMERAS - AMOS ACERO;9.987,18;1,00
14;MORATALAZ;PAVONES;PARQUE ARROYO FONTARRON;85.994,13;8,60
14;MORATALAZ;FONTARRON;BARRIO III;51.310,50;5,13
14;MORATALAZ;MARROQUINA;PARQUE DE MORATALAZ;49.158,59;4,92
14;MORATALAZ;HORCAJO;ANILLO CICLISTA;45.390,12;4,54
14;MORATALAZ;FONTARRON;PARQUE DARWIN;41.052,99;4,11
14;MORATALAZ;FONTARRON;BARRIO II;38.152,71;3,82
14;MORATALAZ;MARROQUINA;PARQUE MARTALA;33.639,17;3,36
14;MORATALAZ;MARROQUINA;PARQUE PAVONES NORTE - Z.A.;33.098,30;3,31
14;MORATALAZ;FONTARRON;"INTBL. POLIG. ""G""";30.970,43;3,10
14;MORATALAZ;MARROQUINA;PARQUE VANDEL;30.568,20;3,06
14;MORATALAZ;FONTARRON;TALUDES ARROYO FONTARRON;29.693,68;2,97
14;MORATALAZ;PAVONES;BARRIO VI;28.827,52;2,88
14;MORATALAZ;PAVONES;PAVONES ESTE TALUD M-40;28.383,70;2,84
14;MORATALAZ;HORCAJO;PAVONES ESTE PARQUE URBANO;28.362,70;2,84
14;MORATALAZ;VINATEROS;"INTBL. POLIG. ""H""";28.814,90;2,88
14;MORATALAZ;MEDIA LEGUA;"INTBL. POLIG. ""A""";24.756,40;2,48
14;MORATALAZ;FONTARRON;POLIG. 38 - M-30;24.249,26;2,42
14;MORATALAZ;MARROQUINA;Z.A. PAVONES NORTE - ANTIGUO FORESTAL;23.642,34;2,36
14;MORATALAZ;MEDIA LEGUA;"INTBL. POLIG. ""C""";22.516,59;2,25
14;MORATALAZ;MARROQUINA;"INTBL. POLIG. ""E""";22.222,02;2,22
14;MORATALAZ;FONTARRON;PARQUE ARROYO FONTARRON II;21.366,08;2,14
14;MORATALAZ;MEDIA LEGUA;TALUDES M-30;19.152,83;1,92
14;MORATALAZ;MARROQUINA;"INTBL. POLIG. ""F""";16.740,17;1,67
14;MORATALAZ;HORCAJO;DR. GARCIA TAPIA;15.721,74;1,57
14;MORATALAZ;FONTARRON;BARRIO II - FTE. CARRANTONA;15.539,39;1,55
14;MORATALAZ;MEDIA LEGUA;ZONA M-30 NUDO O'DONNELL;15.485,11;1,55
14;MORATALAZ;MEDIA LEGUA;EJE O'DONELL - MORATALAZ;14.639,20;1,46
14;MORATALAZ;VINATEROS;PISTA DE PATINAJE HACIENDA DE PAVONES;14.145,85;1,41
14;MORATALAZ;PAVONES;BARRIO IV - FTE. CARRANTONA;13.560,26;1,36
14;MORATALAZ;PAVONES;BARRIO IV;13.416,22;1,34
14;MORATALAZ;VINATEROS;BARRIO I - FTE. CARRANTONA;13.247,94;1,32
14;MORATALAZ;MEDIA LEGUA;PARQUE DEPORTIVO DR. Gª TAPIA;11.587,04;1,16
14;MORATALAZ;VINATEROS;CEIP. PIO BAROJA;11.284,42;1,13
14;MORATALAZ;MEDIA LEGUA;PARQUE ALCAMPO;10.774,87;1,08
14;MORATALAZ;MEDIA LEGUA;ZONA CENTRAL IVIMA;10.548,19;1,05
14;MORATALAZ;VINATEROS;"INTBL. POLIG. ""I""";10.492,96;1,05
14;MORATALAZ;PAVONES;JM_JUNTA MUNICIPAL;10.389,40;1,04
14;MORATALAZ;PAVONES;BARRIO VI - FTE. CARRANTONA;9.827,43;0,98
15;CIUDAD LINEAL;VENTAS;PINAR DE LA ELIPA;144.715,65;14,47
15;CIUDAD LINEAL;COSTILLARES;ARTURO SORIA;67.461,47;6,75
15;CIUDAD LINEAL;CONCEPCION;PARQUE EL CALERO;64.690,28;6,47
15;CIUDAD LINEAL;VENTAS;VALLA SUR DEL CEMENTERIO DE LA ALMUDENA;52.906,88;5,29
15;CIUDAD LINEAL;PUEBLO NUEVO;PARQUE DE ARRIAGA;50.930,01;5,09
15;CIUDAD LINEAL;PUEBLO NUEVO;PARQUE MALMOE;43.800,60;4,38
15;CIUDAD LINEAL;COSTILLARES;CALLE 30 - MANUEL AZAÑA;33.782,57;3,38
15;CIUDAD LINEAL;PUEBLO NUEVO;PARQUE DE LA ALMUDENA;36.410,06;3,64
15;CIUDAD LINEAL;COSTILLARES;PINAR DE CHAMARTIN;30.126,42;3,01
15;CIUDAD LINEAL;PUEBLO NUEVO;COL. JOSE ARCONES GIL;29.746,14;2,97
15;CIUDAD LINEAL;SAN JUAN BAUTISTA;COL. SAN JUAN BAUTISTA;29.233,54;2,92
15;CIUDAD LINEAL;SAN JUAN BAUTISTA;CALLE 30 - NUDO AVDA. AMERICA;29.065,83;2,91
15;CIUDAD LINEAL;SAN JUAN BAUTISTA;CALLE 30 - RAFAEL BERGAMIN;28.379,03;2,84
15;CIUDAD LINEAL;COLINA;CALLE 30 - TALUD COSTA RICA;24.732,31;2,47
15;CIUDAD LINEAL;VENTAS;CALLE 30 - TALUD SAN MARCELO;24.271,70;2,43
15;CIUDAD LINEAL;COSTILLARES;PARQUE DEL DOCTOR FERNANDEZ CATALINA;23.456,89;2,35
15;CIUDAD LINEAL;VENTAS;PARQUE ANTONIO PIRALA;21.774,48;2,18
15;CIUDAD LINEAL;PUEBLO NUEVO;PARQUE DE LOS TILOS;21.269,23;2,13
15;CIUDAD LINEAL;COSTILLARES;CALLE 30 - YERMA;18.973,97;1,90
15;CIUDAD LINEAL;VENTAS;CALLE 30 - O'DONNELL- MARQUES DE CORBERA;18.780,36;1,88
15;CIUDAD LINEAL;ATALAYA;CALLE 30 - NUDO COSTA RICA;17.858,05;1,79
15;CIUDAD LINEAL;PUEBLO NUEVO;Z.V. ENTRE VILLAESCUSA Y CEMENTERIO CIVIL;16.267,81;1,63
15;CIUDAD LINEAL;PUEBLO NUEVO;Bº BILBAO - ARCENTALES;16.002,16;1,60
15;CIUDAD LINEAL;SAN JUAN BAUTISTA;POL. MARQUESA AMBOAGE, 17 - AVDA. PAZ;14.674,55;1,47
15;CIUDAD LINEAL;PUEBLO NUEVO;COL. BRAULIO GUTIERREZ;14.486,64;1,45
15;CIUDAD LINEAL;PUEBLO NUEVO;POL. VALDELACIERVA;13.837,48;1,38
15;CIUDAD LINEAL;COSTILLARES;CALLE 30 - CONDADO DE TREVIÑO;13.007,23;1,30
15;CIUDAD LINEAL;CONCEPCION;JARDIN DE PABLO RAEZ;12.387,84;1,24
15;CIUDAD LINEAL;PUEBLO NUEVO;JARDIN DE JOSE COUSO PERMUY Y JULIO ANGUITA PARRADO;11.616,66;1,16
15;CIUDAD LINEAL;PUEBLO NUEVO;POL. AFRICA;12.448,70;1,24
15;CIUDAD LINEAL;VENTAS;AVDA. MARQUES DE CORBERA;11.146,45;1,11
15;CIUDAD LINEAL;COSTILLARES;CALLE 30 - NUDO MANOTERAS - CIUDAD LINEAL;11.051,75;1,11
15;CIUDAD LINEAL;VENTAS;CEMENTERIO DE LA ALMUDENA;10.405,12;1,04
15;CIUDAD LINEAL;SAN PASCUAL;PZA. NUEVA ORLEANS;9.998,45;1,00
15;CIUDAD LINEAL;PUEBLO NUEVO;MED. ASCAO;9.755,72;0,98
16;HORTALEZA;PIOVERA;Z.F. PINAR DE BARAJAS;207.215,56;20,72
16;HORTALEZA;VALDEFUENTES;ZONA FORESTAL I Y II;163.689,67;16,37
16;HORTALEZA;VALDEFUENTES;PARQUE FLUVIAL SANCHINARRO;104.633,27;10,46
16;HORTALEZA;VALDEFUENTES;VICENTE BLASCO IBAÑEZ C/V PADRES DOMINICOS;97.166,49;9,72
16;HORTALEZA;PIOVERA;PARQUE LOS LLANOS;94.854,11;9,49
16;HORTALEZA;PINAR DEL REY;PARQUE STA. ADELA;86.015,98;8,60
16;HORTALEZA;APOSTOL SANTIAGO;Z.F. MONOVAR;84.218,15;8,42
16;HORTALEZA;VALDEFUENTES;BULEVAR JUAN ANTONIO SAMARANCH;79.372,21;7,94
16;HORTALEZA;VALDEFUENTES;PARQUE MARIA TUDOR;72.393,35;7,24
16;HORTALEZA;VALDEFUENTES;NICETO ALCALA ZAMORA;64.210,69;6,42
16;HORTALEZA;APOSTOL SANTIAGO;Z.F. ACCESO A LA EST. HORTALEZA;54.515,71;5,45
16;HORTALEZA;VALDEFUENTES;PARQUE INFANTA CATALINA MICAELA II;53.730,03;5,37
16;HORTALEZA;PIOVERA;Z.F. LOS LLANOS - M-40;52.545,61;5,25
16;HORTALEZA;APOSTOL SANTIAGO;PARQUE DE LA CORNISA;50.435,33;5,04
16;HORTALEZA;CANILLAS;PARQUE  VILLAROSA ;49.549,95;4,95
16;HORTALEZA;APOSTOL SANTIAGO;PARQUE DE DOÑA GUIOMAR;46.639,68;4,66
16;HORTALEZA;CANILLAS;Z.F. PINAR DEL REY;45.511,62;4,55
16;HORTALEZA;VALDEFUENTES;Z.F. MARTINA DIAZ;41.772,74;4,18
16;HORTALEZA;PINAR DEL REY;PARQUE ALFREDO KRAUS;38.576,63;3,86
16;HORTALEZA;PALOMAS;AVDA. LOGROÑO - M-40;36.831,02;3,68
16;HORTALEZA;VALDEFUENTES;FUERZAS ARMADAS;35.966,04;3,60
16;HORTALEZA;VALDEFUENTES;PARQUE FERNANDO DE ROJAS - AVDA. NICETO ALCALA ZAMORA;33.822,63;3,38
16;HORTALEZA;VALDEFUENTES;ANA DE AUSTRIA;33.228,53;3,32
16;HORTALEZA;APOSTOL SANTIAGO;PARQUE DE MANOTERAS;33.205,93;3,32
16;HORTALEZA;PINAR DEL REY;PARQUE SAN LORENZO;31.747,31;3,17
16;HORTALEZA;VALDEFUENTES;PARQUE MIRADOR DE LAS CARCAVAS;31.624,58;3,16
16;HORTALEZA;CANILLAS;Z.A. PINAR DEL REY;30.720,55;3,07
16;HORTALEZA;PINAR DEL REY;Cº DE LA CUERDA;30.424,71;3,04
16;HORTALEZA;VALDEFUENTES;MED. Y GTAS. EN AVDA. NICETO ALCALA ZAMORA;30.021,57;3,00
16;HORTALEZA;APOSTOL SANTIAGO;Bº APOSTOL SANTIAGO;29.931,66;2,99
16;HORTALEZA;VALDEFUENTES;MED. MANUEL FRAGA IRIBARNE;28.968,32;2,90
16;HORTALEZA;VALDEFUENTES;PARQUE INFANTA CATALINA MICAELA I;28.430,86;2,84
16;HORTALEZA;VALDEFUENTES;MED. C/ PRINCIPE CARLOS;27.914,98;2,79
16;HORTALEZA;VALDEFUENTES;PARQUE VIA MARTINA DIAZ - ANA DE AUSTRIA;27.324,60;2,73
16;HORTALEZA;VALDEFUENTES;SOLANA DE VALDEBEBAS;27.084,78;2,71
16;HORTALEZA;VALDEFUENTES;FRANCISCO PI Y MARGALL - C. MANOTERAS;25.856,50;2,59
16;HORTALEZA;CANILLAS;Z.F. VILLAROSA;24.727,97;2,47
16;HORTALEZA;PALOMAS;PARQUE PEONIAS;24.722,59;2,47
16;HORTALEZA;VALDEFUENTES;PARQUE DE GREGORIO PECES-BARBA;24.457,29;2,45
16;HORTALEZA;VALDEFUENTES;CONECTOR JOSE ANTONIO FERNANDEZ ORDOÑEZ;23.341,46;2,33
16;HORTALEZA;VALDEFUENTES;ZONA FORESTAL I Y II (SANCHINARRO);23.322,54;2,33
16;HORTALEZA;VALDEFUENTES;MED. ANA DE AUSTRIA;23.137,32;2,31
16;HORTALEZA;VALDEFUENTES;Z.F. SAN ENRIQUE DE OSSO;22.774,16;2,28
16;HORTALEZA;VALDEFUENTES;MED. SECUNDINO ZUAZO;22.469,66;2,25
16;HORTALEZA;PINAR DEL REY;CUBIERTA SAN LORENZO;22.218,02;2,22
16;HORTALEZA;VALDEFUENTES;Z.F. CTRA. BURGOS - N-I - M-40;22.146,74;2,21
16;HORTALEZA;VALDEFUENTES;PRINCIPE CARLOS - FERNANDO DE ROJAS - ISABEL CLARA EUGENIA;22.058,67;2,21
16;HORTALEZA;VALDEFUENTES;ALMACENES MANOTERAS;22.058,38;2,21
16;HORTALEZA;VALDEFUENTES;GTA. ALCALDE MORENO TORRES;22.016,95;2,20
16;HORTALEZA;PALOMAS;PARQUE YUCATAN;21.541,28;2,15
16;HORTALEZA;PINAR DEL REY;Z.F. Bº SAN LORENZO;21.433,52;2,14
16;HORTALEZA;PINAR DEL REY;PARQUE ISABEL CLARA EUGENIA;21.332,61;2,13
16;HORTALEZA;APOSTOL SANTIAGO;BARRIO DE SANTIAGO APOSTOL;21.070,52;2,11
16;HORTALEZA;VALDEFUENTES;CONECTOR ANTONIO MIRO VALVERDE;20.960,81;2,10
16;HORTALEZA;VALDEFUENTES;VIA PECUARIA;20.753,51;2,08
16;HORTALEZA;VALDEFUENTES;Z.F. MARIA DE PORTUGAL;20.688,98;2,07
16;HORTALEZA;VALDEFUENTES;CONECTOR JOSEFINA ALDECOA;20.447,06;2,04
16;HORTALEZA;VALDEFUENTES;MED. Y RTDAS. BARRIOS SAN ANTONIO Y LAS CARCAVAS (VALDEBEBAS);19.978,89;2,00
16;HORTALEZA;PINAR DEL REY;MED. GRAN VIA DE HORTALEZA;18.879,03;1,89
16;HORTALEZA;VALDEFUENTES;FRANCISCO PI Y MARGALL - MARIA DE PORTUGAL;18.804,84;1,88
16;HORTALEZA;VALDEFUENTES;CONECTOR FINA DE CALDERON;18.610,76;1,86
16;HORTALEZA;VALDEFUENTES;CONECTOR JORDI SOLE TURA;18.562,42;1,86
16;HORTALEZA;PINAR DEL REY;AVDA. SAN LUIS - VILLA DE PONS;17.195,64;1,72
16;HORTALEZA;PIOVERA;CONDE DE ORGAZ;17.018,01;1,70
16;HORTALEZA;VALDEFUENTES;CONECTOR JOSE ANTONIO CODERCH;16.667,03;1,67
16;HORTALEZA;PINAR DEL REY;PARQUE HUERTA DE LA SALUD;16.316,25;1,63
17;VILLAVERDE;VILLAVERDE ALTO C.H.;PARQUE FORESTAL JULIO ALGUACIL GOMEZ;446.071,11;44,61
17;VILLAVERDE;VILLAVERDE ALTO C.H.;PARQUE DE PLATA Y CASTAÑAR;220.266,19;22,03
17;VILLAVERDE;SAN CRISTOBAL;PARQUE DEHESA BOYAL;126.823,50;12,68
17;VILLAVERDE;BUTARQUE;Z.F. BUTARQUE;83.417,15;8,34
17;VILLAVERDE;LOS ROSALES;PARQUE DEL ESPINILLO;73.188,33;7,32
17;VILLAVERDE;LOS ANGELES;PARQUE CAMINO CENTRAL DE LOS INGENIEROS;68.407,53;6,84
17;VILLAVERDE;BUTARQUE;PARQUE BUTARQUE;58.655,46;5,87
17;VILLAVERDE;VILLAVERDE ALTO C.H.;POL. LA RESINA;48.355,39;4,84
17;VILLAVERDE;VILLAVERDE ALTO C.H.;GRAN VÍA VILLAVERDE;44.541,63;4,45
17;VILLAVERDE;LOS ANGELES;PARQUE CIUDAD DE LOS ANGELES;36.436,73;3,64
17;VILLAVERDE;LOS ANGELES;PARQUE VIRGEN DE LA ESPERANZA;33.301,80;3,33
17;VILLAVERDE;LOS ANGELES;COL. EL AHORRO;29.620,29;2,96
17;VILLAVERDE;BUTARQUE;BARRIO DE BUTARQUE;26.487,52;2,65
17;VILLAVERDE;VILLAVERDE ALTO C.H.;UVA VILLAVERDE;25.544,19;2,55
17;VILLAVERDE;LOS ANGELES;PARQUE NORTE SAN LUCIANO;24.140,75;2,41
17;VILLAVERDE;VILLAVERDE ALTO C.H.;RECINTO FERIAL PLATA Y CASTAÑAR;23.245,46;2,32
17;VILLAVERDE;VILLAVERDE ALTO C.H.;PTE. ALCOCER;22.798,38;2,28
17;VILLAVERDE;BUTARQUE;PARQUE LOS ROSALES;22.362,05;2,24
17;VILLAVERDE;VILLAVERDE ALTO C.H.;PARQUE LENGUAS OESTE;22.089,83;2,21
17;VILLAVERDE;LOS ANGELES;INTBL. SOTO DEL PARRAL- HUESPED SEVILLANO;21.902,62;2,19
17;VILLAVERDE;SAN CRISTOBAL;COL. SAN CRISTÓBAL DE LOS ANGELES POL. 3 Y 5;21.265,10;2,13
17;VILLAVERDE;VILLAVERDE ALTO C.H.;Pº PLATA Y CASTAÑAR - ISLAS;20.886,49;2,09
17;VILLAVERDE;LOS ROSALES;PARQUE DE LA AMISTAD;19.420,37;1,94
17;VILLAVERDE;SAN CRISTOBAL;COL. SAN CRISTÓBAL DE LOS ANGELES POL.1;18.129,62;1,81
17;VILLAVERDE;VILLAVERDE ALTO C.H.;VILLALONSO - PUEBLA DE SANABRIA;15.217,63;1,52
17;VILLAVERDE;BUTARQUE;CALLE CALCIO;16.109,91;1,61
17;VILLAVERDE;LOS ANGELES;INTBL. CANCIÓN DEL OLVIDO- CORTE DEL FARAÓN;15.997,24;1,60
17;VILLAVERDE;VILLAVERDE ALTO C.H.;POL. EL GATO PARQUE CENTRAL;15.315,96;1,53
17;VILLAVERDE;LOS ANGELES;PARQUE EL CRUCE;15.058,93;1,51
17;VILLAVERDE;LOS ANGELES;PARQUE ESPERANZA NORTE;13.881,16;1,39
17;VILLAVERDE;LOS ROSALES;ESTRONCIO - EDUARDO MINGUITO;13.840,43;1,38
17;VILLAVERDE;BUTARQUE;BULEVAR  BERROCAL;13.499,46;1,35
17;VILLAVERDE;LOS ANGELES;COL. SAN NICOLÁS Y ARECHAVALETA;13.291,98;1,33
17;VILLAVERDE;VILLAVERDE ALTO C.H.;JARDIN LENGUAS;11.800,02;1,18
17;VILLAVERDE;LOS ROSALES;UNIDAD 2 DE OROQUIETA APD, 13-15;11.353,77;1,14
17;VILLAVERDE;BUTARQUE;AVDA. LOS ROSALES, 123 - 125;11.081,81;1,11
17;VILLAVERDE;VILLAVERDE ALTO C.H.;PARQUE HUERTA DEL OBISPO-VILLAVERDE;11.053,05;1,11
18;VILLA DE VALLECAS;CASCO H.VALLECAS;FORESTAL DEL SURESTE;728.428,73;72,84
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;LATERAL M-45;229.044,13;22,90
18;VILLA DE VALLECAS;CASCO H.VALLECAS;PARQUE LA GAVIA;194.858,19;19,49
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;CAÑADA DEL SANTISIMO;154.387,01;15,44
18;VILLA DE VALLECAS;CASCO H.VALLECAS;PARQUE FORESTAL M-40;112.966,05;11,30
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;PTO. PORZUNA - LA GRANJA SAN ILDEFONSO;93.978,67;9,40
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AVDA. ENSANCHE DE VALLECAS - REAL DE ARGANDA;77.903,61;7,79
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;CAÑADA;70.952,89;7,10
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ENTORNO BULEVAR NATURALEZA;66.104,77;6,61
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AVDA. DE LA GAVIA - AVDA. ENSANCHE DE VALLECAS;64.867,44;6,49
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ALTO DEL RETIRO;55.198,81;5,52
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;GRAN VIA DEL SURESTE - EDUARDO CHILLIDA;42.708,46;4,27
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AVDA. DE LAS SUERTES - GRAN VIA DEL SURESTE;40.347,91;4,03
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;GRAN VIA DEL SURESTE - AVDA. ENSANCHE DE VALLECAS;36.640,92;3,66
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AVDA. SALMEDINA - AVDA. VALDECULEBRAS;35.117,84;3,51
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;PARQUE AVDA. ENSANCHE DE VALLECAS - M-45;34.898,09;3,49
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;EMBALSE NAVACERRADA - EMBALSE VELLON;32.881,52;3,29
18;VILLA DE VALLECAS;CASCO H.VALLECAS;PARQUE VALLECAS VILLA - CATARATAS;31.962,21;3,20
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AVDA. VILLA DE VALLECAS - AVDA. CERRO MILANO;30.716,73;3,07
18;VILLA DE VALLECAS;SANTA EUGENIA;MARGEN DERECHO A-3;29.689,82;2,97
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ENTREPEÑAS;29.398,26;2,94
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;DEPOSITO DE AGUA;26.122,00;2,61
18;VILLA DE VALLECAS;SANTA EUGENIA;REAL DE ARGANDA;26.450,37;2,65
18;VILLA DE VALLECAS;SANTA EUGENIA;MARGEN IZQUIERDO A-3;23.711,61;2,37
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;INTERIORES AVDA. DE LAS SUERTES - CAÑADA DEL SANTISIMO;23.545,73;2,35
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;AV DE GRAN VIA SURESTE;23.048,02;2,30
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;MED. AVDA. MAYORAZGO;13.194,91;1,32
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;LTRLS. AVDA. MAYORAZGO;22.323,17;2,23
18;VILLA DE VALLECAS;SANTA EUGENIA;PARQUE Cº VASARES;22.061,78;2,21
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;MED. AVDA. ENSANCHE DE VALLECAS;21.516,87;2,15
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;MIRADOR DEL PRINCIPE;21.325,19;2,13
18;VILLA DE VALLECAS;SANTA EUGENIA;PARQUE STA. EUGENIA;20.003,69;2,00
18;VILLA DE VALLECAS;SANTA EUGENIA;POZA DE LA SAL;18.926,65;1,89
18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ESTACION METRO DE LA GAVIA;16.471,70;1,65
18;VILLA DE VALLECAS;SANTA EUGENIA;MED. INFANTA LEONOR;13.758,15;1,38
18;VILLA DE VALLECAS;SANTA EUGENIA;UVA VALLECAS;13.713,80;1,37
19;VICALVARO;CASCO H.VICALVARO;Z.F. ANILLO VERDE DE VICALVARO;325.579,41;32,56
19;VICALVARO;CASCO H.VICALVARO;CUÑA VERDE VICALVARO ZONA C;127.836,38;12,78
19;VICALVARO;CASCO H.VICALVARO;PARQUE FORESTAL DE SANTA EUGENIA;116.391,32;11,64
19;VICALVARO;CASCO H.VICALVARO;CUÑA VERDE VICALVARO ZONA B;110.292,25;11,03
19;VICALVARO;VALDEBERNARDO;PARQUE VALDEBERNARDO ESTE;82.747,36;8,27
19;VICALVARO;VALDEBERNARDO;PARQUE ESTE DE VALDEBERNARDO;71.416,72;7,14
19;VICALVARO;EL CAÑAVERAL;EL CAÑAVERAL FASE 6. PARQUE RL-V27;64.016,79;6,40
19;VICALVARO;VALDEBERNARDO;VALDEBERNARDO M-40;54.970,90;5,50
19;VICALVARO;CASCO H.VICALVARO;PARQUE DE LA VICALVARADA;48.872,99;4,89
19;VICALVARO;EL CAÑAVERAL;EL CAÑAVERAL FASE 6. PARQUE RL-V28;44.732,01;4,47
19;VICALVARO;CASCO H.VICALVARO;AVDA. DAROCA 299;43.933,25;4,39
19;VICALVARO;VALDEBERNARDO;BULEVAR JOSE PRAT PPI - PAU 4;39.299,70;3,93
19;VICALVARO;CASCO H.VICALVARO;CUÑA VERDE VICALVARO ZONA A;37.802,75;3,78
19;VICALVARO;CASCO H.VICALVARO;CUÑA VERDE VICALVARO ZONA D;33.373,08;3,34
19;VICALVARO;CASCO H.VICALVARO;LA DEHESA - ZONA SEMIFORESTAL;31.764,12;3,18
19;VICALVARO;CASCO H.VICALVARO;LA DEHESA - BULEVAR CENTRAL;28.164,15;2,82
