id_equip,nombre_equip,tipo_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud,geometry
31,Sala Rock Palace,SALA CONCIERTOS,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE VARA DE REY,6.0,28045,441492,4472615,40.402096733788525,-3.6894789064548985,POINT (441492 4472615)
32,Auditorio al aire libre. Parque Enrique Tierno Galván,AUDITORIO,LEGAZPI,24,ARGANZUELA,2,AVENIDA PLANETARIO,18.0,28045,441830,4471375,40.390944081814816,-3.685391155439898,POINT (441830 4471375)
33,Sala Big Mama Ballroom,SALA CONCIERTOS,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE BERNARDINO OBREGON,3.0,28012,440603,4472862,40.40425285132008,-3.6999784000568807,POINT (440603 4472862)
34,Sala Jazzville,SALA CONCIERTOS,NIÑO JESUS,36,RETIRO,3,CALLE JESUS APRENDIZ,19.0,28007,443061,4473441,40.40964834979396,-3.6710672285180186,POINT (443061 4473441)
35,WiZink Center,USO POLIVALENTE,GOYA,42,SALAMANCA,4,CALLE JORGE JUAN,99.0,28009,442985,4474957,40.42328354496374,-3.672104027231158,POINT (442985 4474957)
36,Tablao Flamenco Corral de la Pacheca,TABLAO,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237.0,28028,443775,4475871,40.431581087036655,-3.662863216771023,POINT (443775 4475871)
37,Sala Barracudas,SALA CONCIERTOS,GUINDALERA,44,SALAMANCA,4,CALLE BRESCIA,19.0,28028,443825,4476441,40.43672107982399,-3.662331952698921,POINT (443825 4476441)
38,Sala Moe,SALA CONCIERTOS,HISPANOAMERICA,54,CHAMARTIN,5,AVENIDA ALBERTO ALCOCER,32.0,28036,442126,4478859,40.458391668385886,-3.682578546152118,POINT (442126 4478859)
39,Sala Elefante Blanco,SALA CONCIERTOS,PROSPERIDAD,52,CHAMARTIN,5,CALLE SANTA HORTENSIA,14.0,28002,443192,4477384,40.44516934861189,-3.6698726835280313,POINT (443192 4477384)
40,Auditorio al aire libre Berlín,AUDITORIO,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE SAN ERNESTO,10.0,28002,442714,4477836,40.4492084473701,-3.675553913633189,POINT (442714 4477836)
41,Auditorio Nacional de Música,AUDITORIO,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE PRINCIPE DE VERGARA,146.0,28002,442619,4477707,40.44615938706209,-3.677944887416032,POINT (442619 4477707)
42,Sala Moby Dick,SALA CONCIERTOS,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,5.0,28020,441151,4478434,40.4544871863928,-3.694056023965524,POINT (441151 4478434)
43,Sala Rockville,SALA CONCIERTOS,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,3.0,28020,441148,4478377,40.45397721814547,-3.6940692978540577,POINT (441148 4478377)
44,Sala The Irish Rover,SALA CONCIERTOS,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,7.0,28020,441158,4478468,40.45480073078596,-3.693964081346134,POINT (441158 4478468)
45,Auditorio al aire libre. Templete. Plaza de la Remonta,AUDITORIO,VALDEACEDERAS,65,TETUAN,6,PLAZA REMONTA,18.0,28039,440853,4479492,40.46399700811909,-3.6976570794379433,POINT (440853 4479492)
46,Sala Galileo Galilei,SALA CONCIERTOS,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,100.0,28015,439798,4476674,40.43853547465896,-3.709844851840886,POINT (439798 4476674)
47,Sala Fun House,SALA CONCIERTOS,TRAFALGAR,73,CHAMBERI,7,CALLE PALAFOX,8.0,28010,440524,4475870,40.43134824139681,-3.701186635650276,POINT (440524 4475870)
48,Auditorio de la Plaza de Chamberí - Templete,AUDITORIO,ALMAGRO,74,CHAMBERI,7,PLAZA CHAMBERI,12.0,28010,440834,4476014,40.43266432328108,-3.697557153998127,POINT (440834 4476014)
49,Sala Búho Real,SALA CONCIERTOS,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,14.0,28010,440899,4476259,40.43487749572997,-3.696810843113834,POINT (440899 4476259)
50,Sala Clamores,SALA CONCIERTOS,TRAFALGAR,73,CHAMBERI,7,CALLE ALBURQUERQUE,14.0,28010,440546,4475846,40.431121286721805,-3.700948365535389,POINT (440546 4475846)
51,Sala Cien por Cien,SALA CONCIERTOS,TRAFALGAR,73,CHAMBERI,7,CALLE SANTISIMA TRINIDAD,30.0,28010,440547,4476590,40.43783445654716,-3.700994506227161,POINT (440547 4476590)
52,Sala Honky Tonk,SALA CONCIERTOS,TRAFALGAR,73,CHAMBERI,7,CALLE COVARRUBIAS,24.0,28010,440823,4475743,40.43022268747252,-3.6976519453785786,POINT (440823 4475743)
53,Auditorio al aire libre. Parque de la Vaguada,AUDITORIO,EL PILAR,84,FUENCARRAL-EL PARDO,8,PASEO VAGUADA,13.0,28029,439712,4481297,40.48016602497203,-3.711297805142757,POINT (439712 4481297)
54,Sala Cadillac Solitario,SALA CONCIERTOS,LA PAZ,85,FUENCARRAL-EL PARDO,8,CALLE FERMIN CABALLERO,6.0,28034,440725,4482079,40.48729435461303,-3.699402329671547,POINT (440725 4482079)
55,Auditorio Joaquín Rosado (Moncloa-Aravaca),AUDITORIO,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE SANTA POLA,22.0,28008,437516,4475994,40.43224331064189,-3.7366613378902462,POINT (437516 4475994)
56,Pabellón de Convenciones (Recinto Ferial Casa de Campo),USO POLIVALENTE,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PORTUGAL,0.0,28011,437456,4474126,40.41352730435772,-3.738470415917408,POINT (437456 4474126)
57,Templete de Música - Parque de La Bombilla,USO POLIVALENTE,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,GLORIETA SAN ANTONIO DE LA FLORIDA,9.0,28008,438418,4475299,40.426047943114646,-3.725969994297979,POINT (438418 4475299)
58,Pabellón Multiusos Madrid Arena (Recinto Ferial Casa de Campo),USO POLIVALENTE,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PRINCIPAL,14.0,28011,437456,4474126,40.41352730435772,-3.738470415917408,POINT (437456 4474126)
59,Auditorio al aire libre. Templete de Música - Parque del Oeste,AUDITORIO,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE PROFESOR MARTIN ALMAGRO BASCH,5.0,28008,438980,4475117,40.424449819646256,-3.719327791504915,POINT (438980 4475117)
60,Auditorio al aire libre. Parque de las Cruces,AUDITORIO,LAS AGUILAS,107,LATINA,10,AVENIDA POBLADOS,68.0,28044,435534,4470597,40.383472075956185,-3.759489504920487,POINT (435534 4470597)
61,Auditorio al aire libre. Parque Aluche,AUDITORIO,ALUCHE,104,LATINA,10,CALLE ILLESCAS,149.0,28047,435554,4471619,40.392680212409495,-3.759357295793056,POINT (435554 4471619)
62,Auditorio al aire libre. Parque Cerro Almodóvar,AUDITORIO,ALUCHE,104,LATINA,10,CALLE MARCELINO CASTILLO,29.0,28047,436800,4471778,40.39420802732146,-3.744692836307442,POINT (436800 4471778)
63,Quiosco de Música Templete Cantaor José Menese,USO POLIVALENTE,PUERTA DEL ANGEL,102,LATINA,10,PLAZA HUARTE DE SAN JUAN,1.0,28011,438428,4473844,40.41294142675344,-3.725711256326908,POINT (438428 4473844)
64,Sala Gruta 77,SALA CONCIERTOS,SAN ISIDRO,113,CARABANCHEL,11,CALLE CUCLILLO,6.0,28019,437924,4471401,40.390941489181294,-3.731401606873375,POINT (437924 4471401)
65,La Sala Live,SALA CONCIERTOS,VISTA ALEGRE,114,CARABANCHEL,11,AVENIDA NUESTRA SEÑORA DE FATIMA,42.0,28047,436558,4470591,40.38348754068021,-3.7474375780696736,POINT (436558 4470591)
66,Auditorio al aire libre. Plaza de Ermua,AUDITORIO,ORCASITAS,121,USERA,12,CALLE GUETARIA,56.0,28041,439227,4469272,40.37181328202843,-3.7158701313563736,POINT (439227 4469272)
67,Auditorio al aire libre. Parque de Olof Palme,AUDITORIO,ZOFIO,126,USERA,12,CALLE CERECINOS,1.0,28026,439527,4470701,40.38470834141528,-3.712460441100476,POINT (439527 4470701)
68,Sala Olvido,SALA CONCIERTOS,MOSCARDO,125,USERA,12,CALLE OLVIDO,15.0,28026,440347,4470923,40.38676778449733,-3.702812177909271,POINT (440347 4470923)
