id_mercado,nombre_mercado,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud,geometry
35,Mercado municipal de Numancia,NUMANCIA,136,PUENTE DE VALLECAS,13,CALLE JOSEFA DIAZ,4,28038,444159.0,4471630.0,40.39339,-3.6579854,POINT (-3.6579736923475465 40.39339960126864)
36,Mercado municipal de Doña Carlota,NUMANCIA,136,PUENTE DE VALLECAS,13,CALLE DOCTOR LOZANO,16,28038,444016.0,4472712.0,40.403137,-3.6597538,POINT (-3.659753695824608 40.40313728814782)
37,Mercado municipal de Moratalaz,VINATEROS,146,MORATALAZ,14,CALLE CAÑADA,17,28030,445233.0,4472902.0,40.40493,-3.6454408,POINT (-3.6454289576336345 40.404929861974956)
38,Mercado municipal de Las Ventas,CONCEPCION,154,CIUDAD LINEAL,15,CALLE VIRGEN DE LA ALEGRIA,10,28027,444282.0,4476082.0,40.433514,-3.6569262,POINT (-3.656914385106135 40.43351396682079)
39,Mercado municipal de Bami,VENTAS,151,CIUDAD LINEAL,15,PLAZA BAMI,32,28017,444410.0,4475768.0,40.430695,-3.6553779,POINT (-3.655377897953916 40.43069385096392)
40,Mercado municipal de San Pascual,SAN PASCUAL,155,CIUDAD LINEAL,15,CALLE VIRGEN DEL VAL,9,28027,444671.0,4476814.0,40.438263,-3.653659,POINT (-3.652392100071081 40.44013418322562)
41,Mercado municipal de Villaverde Alto,SAN ANDRES,171,VILLAVERDE,17,PASEO ALBERTO PALACIOS,18,28021,439615.0,4466438.0,40.346302,-3.7110317,POINT (-3.711020085526021 40.34631027338201)
42,Mercado municipal de Santa Eugenia,SANTA EUGENIA,182,VILLA DE VALLECAS,18,CALLE VIRGEN DE LAS VIÑAS,16,28031,448484.0,4470238.0,40.38113,-3.6069143,POINT (-3.606902533903438 40.381138239900466)
43,Mercado municipal de Villa de Vallecas,CASCO H.VALLECAS,181,VILLA DE VALLECAS,18,CALLE SIERRA VIEJA,61,28031,447035.0,4469964.0,40.37857,-3.6239493,POINT (-3.623949273422287 40.37857901937095)
44,Mercado municipal de Vicálvaro,CASCO H.VICALVARO,191,VICALVARO,19,PASEO ARTILLEROS,31,28032,448410.0,4472748.0,40.405807,-3.6082993,POINT (-3.6079775984874676 40.40374545364564)
