id_local,tipo_local,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
42,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,22,440212.6,4473568.5,40.41058863556469,-3.7046529120692147
43,RESTAURANTE,CORTES              ,13,CENTRO              ,1,CALLE                    PRADO                                             ,3,440639.6,4474020.5,40.41469103079523,-3.699662829548212
44,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    HORTALEZA                                         ,37,440626.6,4474869.5,40.42233829956078,-3.699895299747515
45,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CASINO                                            ,16,440080.6,4473118.5,40.406525328535764,-3.7061661765076623
46,BAR,JUSTICIA            ,14,CENTRO              ,1,CALLE                    VICTOR HUGO                                       ,5,440770.6,4474632.5,40.42021355400234,-3.698175870084167
50,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    ALMENDRO                                          ,18,439744.6,4473772.5,40.41239261716925,-3.7101876684118964
51,BAR,SOL                 ,16,CENTRO              ,1,CALLE                    HILERAS                                           ,17,439974.6,4474388.5,40.41795845076704,-3.7075351431211616
52,BAR RESTAURANTE,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GRAN VIA                                          ,44,440143.6,4474665.5,40.420465967985955,-3.705569308382292
53,BAR,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    MANUELA MALASANA                                  ,18,440254.6,4475587.5,40.428779743202874,-3.7043476017956234
54,BAR RESTAURANTE,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    VALVERDE                                          ,7,440430.6,4474723.5,40.42100905437499,-3.702191912693722
55,CAFETERIA,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GONZALO JIMENEZ DE QUESADA                        ,2,440368.6,4474641.5,40.42026591925695,-3.702915015118841
56,CAFE ESPECTACULO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    TORRECILLA DEL LEAL                               ,18,440648.6,4473588.5,40.41080000688951,-3.6995164562629967
57,BAR,JUSTICIA            ,14,CENTRO              ,1,CALLE                    PELAYO                                            ,19,440736.6,4474909.5,40.4227064804595,-3.6986024360010465
58,CAFETERIA,CORTES              ,13,CENTRO              ,1,CALLE                    LEON                                              ,10,440704.6,4473951.5,40.41407407879925,-3.69889031722057
59,BODEGA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    OLMO                                              ,35,440640.6,4473675.5,40.411583174877954,-3.699618854256537
60,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    BARBIERI                                          ,1,440755.6,4474677.5,40.42061786759818,-3.69835686450488
61,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    CRUZ VERDE                                        ,3,439617.6,4473957.5,40.414049979049274,-3.7117019764809536
62,CAFETERIA,SOL                 ,16,CENTRO              ,1,CALLE                    CRUZ                                              ,8,440507.6,4474165.5,40.415987835125,-3.7012321233785213
63,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    HUMILLADERO                                       ,13,439732.6,4473501.5,40.409950453793705,-3.7103034243380684
64,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CALDERON DE LA BARCA                              ,3,439664.6,4474141.5,40.41571094408584,-3.711165499194805
65,CAFETERIA,CORTES              ,13,CENTRO              ,1,CALLE                    ARLABAN                                           ,7,440718.6,4474286.5,40.417092917765984,-3.6987565358206114
67,CAFETERIA,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    ACUERDO                                           ,37,439951.6,4475635.5,40.42919033174628,-3.707923990982657
68,BAR RESTAURANTE,CORTES              ,13,CENTRO              ,1,CALLE                    NUNEZ DE ARCE                                     ,14,440496.6,4474088.5,40.41529339595712,-3.7013545676412605
69,CAFETERIA,CORTES              ,13,CENTRO              ,1,CALLE                    MORATIN                                           ,33,440943.6,4473779.5,40.41254161099411,-3.6960575544799004
70,RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CAPITAN SALAZAR MARTINEZ                          ,11,439763.6,4473235.5,40.407556444157436,-3.7099129094898076
71,RESTAURANTE,CORTES              ,13,CENTRO              ,1,CALLE                    VENTURA DE LA VEGA                                ,12,440696.6,4474122.5,40.41561395946661,-3.6990005443264518
72,BAR,CORTES              ,13,CENTRO              ,1,CALLE                    CRUZ                                              ,33,440392.6,4474044.5,40.414889580964854,-3.702576184452843
73,RESTAURANTES DE COMIDA RAPIDA,CORTES              ,13,CENTRO              ,1,PLAZA                    SANTA ANA                                         ,9,440552.6,4473987.5,40.41438754134604,-3.700685115427205
74,RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    GRAN VIA                                          ,33,440255.6,4474585.5,40.419753339735436,-3.70424166536599
75,,CORTES              ,13,CENTRO              ,1,CALLE                    ECHEGARAY                                         ,15,440650.6,4474100.5,40.41541249382422,-3.699540648761952
76,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    ISABEL II                                         ,1,439824.6,4474363.5,40.41772240634478,-3.709300738963272
77,RESTAURANTES DE COMIDA RAPIDA,PALACIO             ,11,CENTRO              ,1,CALLE                    ISABEL TINTERO                                    ,1,439515.6,4473362.5,40.40868253807031,-3.7128475572800697
78,CAFETERIA,SOL                 ,16,CENTRO              ,1,CALLE                    VICTORIA                                          ,4,440464.6,4474184.5,40.416155921239614,-3.701740703141554
79,TABERNA,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,7,439899.6,4473861.5,40.413205577154784,-3.708369333366882
80,BAR,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    SAN LEONARDO                                      ,3,439717.6,4475162.5,40.42491241449351,-3.7106376187052335
81,CAFE ESPECTACULO,PALACIO             ,11,CENTRO              ,1,CALLE                    BAILEN                                            ,24,439415.6,4473669.5,40.41144086401867,-3.71405526539264
82,CAFETERIA,JUSTICIA            ,14,CENTRO              ,1,PLAZA                    AUGUSTO FIGUEROA                                  ,33,440814.6,4474875.5,40.42240574431358,-3.697679865003721
83,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,PLAZA                    MAYOR                                             ,35,439959.6,4474146.5,40.415777320566804,-3.7076890967197342
84,RESTAURANTE,SOL                 ,16,CENTRO              ,1,PLAZA                    MAYOR                                             ,9,439919.6,4474041.5,40.4148285451105,-3.708150621001507
85,BAR,SOL                 ,16,CENTRO              ,1,PASAJE                   ESPOZ Y MINA                                      ,5,440432.6,4474174.5,40.41606354670996,-3.7021169222113506
86,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    VALENCIA                                          ,4,440534.6,4473285.5,40.408062298749805,-3.700831650734516
87,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    CRUZ                                              ,4,440548.6,4474203.5,40.41633308712697,-3.7007524455094876
88,CAFETERIA,JUSTICIA            ,14,CENTRO              ,1,CALLE                    BARQUILLO                                         ,19,440978.6,4474836.5,40.42206606305931,-3.6957431420748064
89,CAFETERIA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,22,440214.6,4473561.5,40.41052571985836,-3.70462868408521
90,CAFETERIA,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    VALVERDE                                          ,9,440433.6,4474733.5,40.42109935381277,-3.702157488477524
91,RESTAURANTE,CORTES              ,13,CENTRO              ,1,PASEO                    PRADO                                             ,44,441217.6,4473521.5,40.41023681355165,-3.6928044915343885
92,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    OLIVAR                                            ,3,440471.6,4473707.5,40.41185937722656,-3.7016135663309657
93,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ARGUMOSA                                          ,21,440750.6,4473293.5,40.40814976797986,-3.698286899282164
94,CAFETERIA,PALACIO             ,11,CENTRO              ,1,CALLE                    CALATRAVA                                         ,17,439625.6,4473416.5,40.4091769804053,-3.7115563548343173
95,BAR RESTAURANTE,CORTES              ,13,CENTRO              ,1,CALLE                    ESPOZ Y MINA                                      ,28,440407.6,4474058.5,40.415016773796054,-3.7024007076249394
96,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    SAN MIGUEL                                        ,5,439854.6,4474081.5,40.41518418892324,-3.7089204838416863
97,CAFETERIA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    AVE MARIA                                         ,17,440569.6,4473607.5,40.41096553154685,-3.7004492601337375
98,TABERNA,PALACIO             ,11,CENTRO              ,1,CALLE                    TABERNILLAS                                       ,23,439604.6,4473528.5,40.410184405333005,-3.7118144674796647
99,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    TRUJILLOS                                         ,9,439980.6,4474494.5,40.418913780421626,-3.7074744273604106
100,CAFETERIA,SOL                 ,16,CENTRO              ,1,CALLE                    NAVAS DE TOLOSA                                   ,3,440055.6,4474518.5,40.419135389493384,-3.7065926959704094
102,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    VALENCIA                                          ,9,440592.6,4473204.5,40.40733675190503,-3.7001405764611137
104,RESTAURANTES DE COMIDA RAPIDA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    TOLEDO                                            ,65,439926.6,4473620.5,40.411036485037705,-3.7080283674798302
105,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    INDEPENDENCIA                                     ,4,439773.6,4474373.5,40.41780880158756,-3.7099027903640365
106,CAFETERIA,PALACIO             ,11,CENTRO              ,1,CALLE                    PALOMA                                            ,9,439612.6,4473372.5,40.408779664874295,-3.711705382569946
107,BODEGA,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    CARLOS CAMBRONERO                                 ,1,440246.6,4474954.5,40.42307681624741,-3.70438241753134
108,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    TETUAN                                            ,20,440325.6,4474356.5,40.41769542320433,-3.7033951083336905
109,RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,PLAZA                    TIRSO DE MOLINA                                   ,7,440227.6,4473738.5,40.41212115409412,-3.7044921054759827
110,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,PLAZA                    MAYOR                                             ,30,440036.6,4474151.5,40.41582791428053,-3.7067820436778747
111,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    MARINA ESPANOLA                                   ,4,439594.6,4474681.5,40.420570430962144,-3.712041803778967
112,CAFETERIA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    SANTA ANA                                         ,8,439877.6,4473473.5,40.40970870193738,-3.7085919524237476
113,BAR,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,2,439907.6,4473903.5,40.41358451041741,-3.7082790158885786
114,CAFE ESPECTACULO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ZURITA                                            ,20,440671.6,4473451.5,40.4095674833658,-3.6992326231744577
115,RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    JACOMETREZO                                       ,15,439980.6,4474627.5,40.420111905548886,-3.707486978595435
116,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    HORTALEZA                                         ,34,440624.6,4474812.5,40.421824674040984,-3.6999135520630677
117,RESTAURANTES DE COMIDA RAPIDA,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GONZALO JIMENEZ DE QUESADA                        ,2,440368.6,4474641.5,40.42026591925695,-3.702915015118841
118,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    ALMENDRO                                          ,22,439717.6,4473752.5,40.4122104928531,-3.7105039800761466
120,BAR,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    CRISTO                                            ,2,439780.6,4475387.5,40.42694387693334,-3.709916309716421
121,RESTAURANTE,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    DIVINO PASTOR                                     ,12,440266.6,4475470.5,40.427726616041525,-3.7041951485924653
122,CAFETERIA,EMBAJADORES         ,12,CENTRO              ,1,PLAZA                    EMPERADOR CARLOS V                                ,9,441214.6,4473346.5,40.408660113575415,-3.6928236797308718
123,TABERNA,PALACIO             ,11,CENTRO              ,1,COSTANILLA               SAN ANDRES                                        ,8,439613.6,4473857.5,40.41314884279284,-3.711739627443426
124,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    LIBERTAD                                          ,25,440835.6,4474785.5,40.421596475045405,-3.6974239601830683
125,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    ESPOZ Y MINA                                      ,4,440410.6,4474208.5,40.4163682599182,-3.702379401324432
126,,JUSTICIA            ,14,CENTRO              ,1,PLAZA                    SANTA BARBARA                                     ,10,440922.6,4475312.5,40.426350122342015,-3.696447448414478
127,CAFETERIA,JUSTICIA            ,14,CENTRO              ,1,CALLE                    ALCALA                                            ,41,440870.6,4474526.5,40.41926576704525,-3.6969873321170756
128,RESTAURANTE,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,75,440746.6,4473745.5,40.412221321584475,-3.698376129461025
129,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    VALENCIA                                          ,5,440581.6,4473231.5,40.407579196162935,-3.7002727277510865
130,CAFETERIA,PALACIO             ,11,CENTRO              ,1,CALLE                    TOLEDO                                            ,106,439644.6,4473251.5,40.40769196073965,-3.7113167927824486
131,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    SANTO DOMINGO                                     ,8,439838.6,4474677.5,40.42055207403435,-3.7091654316416025
132,BAR RESTAURANTE,CORTES              ,13,CENTRO              ,1,COSTANILLA               DESAMPARADOS                                      ,2,440902.6,4473841.5,40.41309722741577,-3.696546518839247
133,BAR,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    VELARDE                                           ,20,440360.6,4475374.5,40.42686854847613,-3.703078059094915
134,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    FUENCARRAL                                        ,58,440570.6,4475052.5,40.42398285119235,-3.7005724856480033
135,RESTAURANTE,SOL                 ,16,CENTRO              ,1,CARRERA                  SAN JERONIMO                                      ,3,440468.6,4474250.5,40.4167507667644,-3.7016997355472174
136,CAFETERIA,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ARGUMOSA                                          ,7,440624.6,4473319.5,40.408375011488324,-3.6997741998790152
137,CAFETERIA,JUSTICIA            ,14,CENTRO              ,1,CALLE                    BELEN                                             ,7,440928.6,4475076.5,40.42422454898837,-3.6963547950429563
138,BAR,CORTES              ,13,CENTRO              ,1,CALLE                    ANGEL                                             ,1,440368.6,4474018.5,40.414653641372595,-3.7028566085473633
139,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    ISABEL II                                         ,8,439851.6,4474387.5,40.41794056127947,-3.7089847766707655
140,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,COSTANILLA               SAN PEDRO                                         ,2,439703.6,4473896.5,40.4135066975858,-3.710682623135319
141,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    MARINA ESPANOLA                                   ,1,439666.6,4474690.5,40.42065673058932,-3.7111940039744704
142,BAR,PALACIO             ,11,CENTRO              ,1,CALLE                    CALATRAVA                                         ,6,439691.6,4473425.5,40.40926284076656,-3.710779406451925
143,BAR,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    FUENCARRAL                                        ,73,440547.6,4475152.5,40.42488205449353,-3.700852947834372
144,CAFETERIA,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA ALTA                                         ,16,439819.6,4473758.5,40.412271924634645,-3.7093024366287275
145,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA ALTA                                         ,32,439758.6,4473713.5,40.41186213103128,-3.7100170859905277
146,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,30,439806.6,4473762.5,40.41230701848314,-3.7094560254370528
147,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,COSTANILLA               SAN PEDRO                                         ,9,439703.6,4473782.5,40.412479732740074,-3.7106718188158077
148,BAR,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,39,439770.6,4473728.5,40.41199812643023,-3.709877081872498
149,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA ALTA                                         ,1,439926.6,4473744.5,40.41215353542943,-3.708040075265203
150,BODEGA,PALACIO             ,11,CENTRO              ,1,PLAZA                    PUERTA CERRADA                                    ,6,439871.6,4473907.5,40.41361794434054,-3.708703677134487
151,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA ALTA                                         ,7,439895.6,4473774.5,40.4124215515759,-3.7084082566074485
152,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    CEBADA                                            ,9,439772.6,4473670.5,40.41147578005303,-3.7098480208452327
153,BAR RESTAURANTE,SOL                 ,16,CENTRO              ,1,CALLE                    CRUZ                                              ,14,440462.6,4474127.5,40.415642295013505,-3.7017589404229163
154,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    HORTALEZA                                         ,52,440662.6,4474875.5,40.422394918463134,-3.6994715206111795
