id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito,latitud,longitud
48,180000,8.0,EXTERIOR,2.0,43.0,True,False,PACIFICO,31,RETIRO,3,40.40585,-3.679747
49,230000,7.0,EXTERIOR,2.0,57.0,True,False,PACIFICO,31,RETIRO,3,40.40568,-3.675165
50,430500,11.0,INTERIOR,2.0,103.0,True,False,PACIFICO,31,RETIRO,3,40.40675,-3.67342
51,630000,6.0,EXTERIOR,3.0,172.0,False,False,PACIFICO,31,RETIRO,3,40.40324,-3.677905
52,150000,3.0,EXTERIOR,1.0,39.0,False,False,PACIFICO,31,RETIRO,3,40.40629,-3.676622
53,285000,9.0,INTERIOR,1.0,68.0,True,False,PACIFICO,31,RETIRO,3,40.40329,-3.675831
54,495000,6.0,EXTERIOR,3.0,151.0,True,True,PACIFICO,31,RETIRO,3,40.40542,-3.682514
55,170000,7.0,EXTERIOR,2.0,44.0,True,False,PACIFICO,31,RETIRO,3,40.40253,-3.676727
56,245000,3.0,EXTERIOR,4.0,165.0,True,False,PACIFICO,31,RETIRO,3,40.40509,-3.677042
57,795000,6.0,EXTERIOR,3.0,156.0,True,False,PACIFICO,31,RETIRO,3,40.40672,-3.679191
58,430500,11.0,EXTERIOR,2.0,104.0,False,False,PACIFICO,31,RETIRO,3,40.4088,-3.673651
59,499900,5.0,INTERIOR,5.0,156.0,True,False,PACIFICO,31,RETIRO,3,40.40695,-3.674881
60,389000,8.0,EXTERIOR,3.0,97.0,True,False,PACIFICO,31,RETIRO,3,40.40585,-3.68078
61,499000,6.0,INTERIOR,3.0,151.0,True,False,PACIFICO,31,RETIRO,3,40.40524,-3.682436
62,447000,8.0,EXTERIOR,4.0,104.0,True,False,PACIFICO,31,RETIRO,3,40.40477,-3.672967
63,500000,1.0,EXTERIOR,4.0,112.0,True,False,PACIFICO,31,RETIRO,3,40.40486,-3.675627
64,525000,2.0,EXTERIOR,4.0,105.0,True,False,PACIFICO,31,RETIRO,3,40.40593,-3.680951
65,195000,4.0,EXTERIOR,3.0,67.0,True,False,PACIFICO,31,RETIRO,3,40.40277,-3.675229
66,244000,2.0,EXTERIOR,2.0,65.0,True,False,PACIFICO,31,RETIRO,3,40.40415,-3.679509
67,675000,3.0,INTERIOR,4.0,204.0,True,False,PACIFICO,31,RETIRO,3,40.40348,-3.678288
68,585000,2.0,INTERIOR,4.0,140.0,True,False,PACIFICO,31,RETIRO,3,40.40391,-3.67702
69,145000,8.0,INTERIOR,2.0,38.0,True,False,PACIFICO,31,RETIRO,3,40.40458,-3.677713
70,540000,1.0,EXTERIOR,4.0,164.0,True,False,PACIFICO,31,RETIRO,3,40.40452,-3.68197
71,285000,1.0,EXTERIOR,3.0,76.0,True,False,PACIFICO,31,RETIRO,3,40.40658,-3.67565
72,465000,4.0,EXTERIOR,6.0,120.0,True,False,PACIFICO,31,RETIRO,3,40.40402,-3.67767
73,670000,1.0,EXTERIOR,4.0,164.0,True,False,PACIFICO,31,RETIRO,3,40.40669,-3.6791
74,670000,0.0,EXTERIOR,3.0,106.0,True,False,PACIFICO,31,RETIRO,3,40.40352,-3.679795
