id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
107,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,113,441058.6,4473533.5,40.41033367227119,-3.6946794334929574
108,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    ALCALA                                            ,19,440621.6,4474377.5,40.41790577391432,-3.6999083000211894
109,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    IMPERIAL                                          ,8,440006.6,4474033.5,40.41476275315699,-3.7071244963590066
110,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    GRAN VIA                                          ,25,440428.6,4474599.5,40.419891861117655,-3.7022038714975793
111,CASA DE HUESPEDES,NO,JUSTICIA            ,14,CENTRO              ,1,CALLE                    ALMIRANTE                                         ,16,441140.6,4474875.5,40.422428869292865,-3.6938372319439456
112,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,83,440493.6,4473055.5,40.405987416082716,-3.701293317249087
113,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    ARENAL                                            ,2,440196.6,4474274.5,40.416947468603865,-3.704907840654334
114,HOSTAL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    BALLESTA                                          ,5,440310.6,4474782.5,40.421531954400514,-3.7036118848251696
115,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    GRAN VIA                                          ,2,440856.6,4474532.5,40.41931882301951,-3.6971529033722472
116,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    PRADO                                             ,6,440655.6,4474011.5,40.41461109545499,-3.6994734162091873
117,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    CAMPOMANES                                        ,7,439825.6,4474519.5,40.41912779806489,-3.7093037115604957
118,HOTEL,SI,SOL                 ,16,CENTRO              ,1,PLAZA                    CELENQUE                                          ,2,440109.6,4474350.5,40.417625855634455,-3.7059403993224933
119,CASA DE HUESPEDES,NO,SOL                 ,16,CENTRO              ,1,CALLE                    FLORA                                             ,3,439948.6,4474415.5,40.41819980344222,-3.7078441389386123
120,CASA DE HUESPEDES,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    MANUELA MALASAÃÂA                                  ,12,440297.6,4475583.5,40.42874679656221,-3.7038403288926953
121,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GRAN VIA                                          ,38,440225.6,4474656.5,40.420390786267674,-3.7046019404175703
122,HOTEL,SI,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CAÃÂIZARES                                         ,6,440462.6,4473826.5,40.41293074286818,-3.7017307704772597
123,PENSION,NO,CORTES              ,13,CENTRO              ,1,CALLE                    MANUEL FERNANDEZ Y GONZALEZ                       ,10,440687.6,4474065.5,40.41509983462098,-3.6991013038935714
124,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    MONTERA                                           ,6,440375.6,4474330.5,40.417464786797616,-3.7028033523049007
125,HOTEL,NO,CORTES              ,13,CENTRO              ,1,CALLE                    GOBERNADOR                                        ,24,441093.6,4473658.5,40.41146221213549,-3.6942785270807876
126,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    AMPARO                                            ,86,440535.6,4473146.5,40.4068101898777,-3.700806877729424
127,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,1,439894.6,4474683.5,40.42061017166353,-3.7085059345596236
128,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GRAN VIA                                          ,80,439733.6,4474986.5,40.42332808703055,-3.710432335493672
129,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MAGDALENA                                         ,22,440520.6,4473754.5,40.41228627885617,-3.7010404774525347
130,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    SILVA                                             ,6,439988.6,4474692.5,40.42069803232748,-3.707398817825064
131,HOSTAL,NO,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,43,440524.6,4473869.5,40.413322540187764,-3.701004086303215
132,APART-HOTEL,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CONDE DE ROMANONES                                ,7,440208.6,4473871.5,40.41331791672279,-3.704728527358117
