id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1399,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    JOAQUIN COSTA                                     ,20,441893.6,4477319.5,40.444498522351154,-3.6851848862645316
1400,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    SAGRADO CORAZON                                   ,2,443072.6,4479694.5,40.465975206869814,-3.671496115013756
1401,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    CHILE                                             ,25,442711.6,4478994.5,40.45964447516609,-3.6756908768252052
1402,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CASTILLA            ,6,CHAMARTIN           ,5,CALLE                    ESTEBAN TERRADAS                                  ,7,441918.62,4480069.5,40.46927349215235,-3.6851414824081306
1403,CENTROS PRIVADOS DE EDUCACION PRIMARIA,PRIMARIA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,AVENIDA                  ALFONSO XIII                                      ,155,442510.6,4479050.5,40.460135066917836,-3.6780664962735807
1404,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COCHABAMBA                                        ,2,442221.6,4478517.5,40.45531351862626,-3.6814264034831243
1405,EDUCACION UNIVERSITARIA PRIVADA,UNIVERSITARIA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    SERRANO                                           ,208,442196.6,4478028.5,40.450906645079066,-3.6816767102819243
1406,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    LUIS LARRAINZA                                    ,55,443311.6,4478029.5,40.45099244309568,-3.6685284387412587
1407,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,PASEO                    CASTELLANA                                        ,186,441631.6,4479193.5,40.46136199440859,-3.6884464266227575
1408,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    PEREZ AYUSO                                       ,1,442747.6,4477644.5,40.44748552483214,-3.6751445667460616
1409,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    PEREZ AYUSO                                       ,21,442846.6,4477667.5,40.44769953199338,-3.67397926326972
1410,CENTROS DE CUIDADO INFANTIL,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    MENENDEZ PIDAL                                    ,27,442223.6,4479418.5,40.4634302684397,-3.681484831268121
1411,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COCHABAMBA                                        ,23,442449.6,4478619.5,40.45624820078181,-3.6787468450003806
