id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1498,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,VALDEACEDERAS       ,5,TETUAN              ,6,CALLE                    AZUCENAS                                          ,34,440657.62,4479535.5,40.46437388091266,-3.6999655462079364
1499,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,VALDEACEDERAS       ,5,TETUAN              ,6,CALLE                    CAPITAN BLANCO ARGIBAY                            ,85,440444.62,4479762.5,40.46640354629126,-3.702499087266215
1500,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,ALMENARA            ,4,TETUAN              ,6,AVENIDA                  CARMEN MONTOYA                                    ,20,440869.62,4480208.5,40.4704516519167,-3.697527823975118
1502,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    CASTILLEJOS                                       ,26,440056.62,4478626.5,40.45614210427318,-3.7069682072489254
1503,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CASTILLEJOS         ,3,TETUAN              ,6,CALLE                    ROBLE                                             ,22,440904.62,4479241.5,40.461743013200916,-3.697024916532806
1504,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    GOIRI                                             ,18,440319.62,4478282.5,40.45306213860124,-3.7038342886337485
1505,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    ORENSE                                            ,30,441092.6,4478314.5,40.453405551718525,-3.6947218391576166
1506,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    ORENSE                                            ,12,441074.06,4477833.5,40.449071180629716,-3.6948958385371538
1507,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,PLAZA                    SAN AMARO                                         ,7,440951.38,4478535.5,40.45538639309179,-3.696407748848024
1508,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    DULCINEA                                          ,53,440588.6,4477989.5,40.450441941022504,-3.7006349121905817
