id_teatro,nombre_teatro,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
38,Soho Club Teatro,PALACIO,1.0,CENTRO,1.0,PLAZA ESPAÑA,6.0,28008,439605,4474904,40.4225784750317,-3.711936020558947
39,Sala Teatro Azarte,JUSTICIA,4.0,CENTRO,1.0,CALLE SAN MARCOS,19.0,28004,440756,4474766,40.42140719770071,-3.698360306512048
40,Tablao Cafetín La Quimera,SOL,6.0,CENTRO,1.0,CALLE CUCHILLEROS,7.0,28005,439935,4474010,40.41455139884737,-3.7079639628064585
41,Tablao Flamenco 1911,CORTES,3.0,CENTRO,1.0,PLAZA SANTA ANA,15.0,28012,440490,4474047,40.414922971596944,-3.701424270015707
42,Tablao Flamenco Cardamomo,CORTES,3.0,CENTRO,1.0,CALLE ECHEGARAY,15.0,28014,440650,4474106,40.415463057589214,-3.699548238936712
43,Tablao Flamenco Corral de la Morería,PALACIO,1.0,CENTRO,1.0,CALLE MORERIA,17.0,28005,439399,4473810,40.412706403145705,-3.7142642886799
44,Tablao flamenco de la Villa,PALACIO,1.0,CENTRO,1.0,CALLE TORIJA,7.0,28013,439731,4474700,40.42074803731289,-3.7104358351726
45,Tablao Flamenco La Carmela,SOL,6.0,CENTRO,1.0,CALLE VICTORIA,4.0,28012,440464,4474201,40.41630783060771,-3.701737920263045
46,Tablao Flamenco El Lucero,CORTES,3.0,CENTRO,1.0,CALLE MARQUES DE CUBAS,25.0,28014,440974,4474192,40.41626690688702,-3.6957342044022425
47,Off Latina,PALACIO,1.0,CENTRO,1.0,CALLE MANCEBOS,4.0,28005,439592,4473735,40.41204479812585,-3.711982569899289
48,Microteatro Por Dinero,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE LORETO Y CHICOTE,9.0,28004,440272,4474782,40.42152574011699,-3.704066823193944
49,El umbral de la primavera,EMBAJADORES,2.0,CENTRO,1.0,CALLE PRIMAVERA,11.0,28012,440573,4473448,40.40952998024258,-3.700394299299595
50,DT Espacio Escénico,JUSTICIA,4.0,CENTRO,1.0,CALLE REINA,9.0,28004,440593,4474656,40.42040457289982,-3.700283103997518
51,Tablao Flamenco Torero,SOL,6.0,CENTRO,1.0,CALLE CRUZ,26.0,28012,440382,4474047,40.41491309678971,-3.70269441327852
52,Tablao Flamenco Torres Bermejas,SOL,6.0,CENTRO,1.0,CALLE MESONERO ROMANOS,11.0,28013,440261,4474600,40.419885409942566,-3.7041793844860695
53,Teatro Alfil,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE PEZ,10.0,28004,440240,4474963,40.4231448936827,-3.704472711431984
54,Pequeño Teatro Gran Vía,UNIVERSIDAD,5.0,CENTRO,1.0,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
55,Teatro Lagrada,ACACIAS,2.0,ARGANZUELA,2.0,CALLE ERCILLA,20.0,28005,440356,4472691,40.40268595360097,-3.70289238039068
56,Naves Español en Matadero,CHOPERA,3.0,ARGANZUELA,2.0,PASEO CHOPERA,14.0,28045,440825,4471546,40.39241374953321,-3.697247685884226
57,El Pasillo Verde Teatro,ACACIAS,2.0,ARGANZUELA,2.0,PASEO ESPERANZA,23.0,28005,440246,4472488,40.40085850941741,-3.704147130970605
58,Sala de teatro. La Usina,PALOS DE MOGUER,6.0,ARGANZUELA,2.0,CALLE PALOS DE LA FRONTERA,4.0,28012,440590,4472681,40.402621678076535,-3.7001223561771193
59,Sala Nave 73,PALOS DE MOGUER,6.0,ARGANZUELA,2.0,CALLE PALOS DE LA FRONTERA,5.0,28012,440712,4472741,40.40316180456706,-3.6987020172137433
60,Teatro La Sala,PALOS DE MOGUER,6.0,ARGANZUELA,2.0,CALLE PALOS DE LA FRONTERA,3.0,28012,440686,4472732,40.40309417359402,-3.6989842711202656
61,Teatro La Encina,ACACIAS,2.0,ARGANZUELA,2.0,CALLE ERCILLA,15.0,28005,440362,4472716,40.40292067588232,-3.7028123300797953
62,Teatro Sala Cuarta Pared,ACACIAS,2.0,ARGANZUELA,2.0,CALLE ERCILLA,17.0,28005,440371,4472701,40.402777112937486,-3.702716560812772
63,Sojo Laboratorio Teatral.,ACACIAS,2.0,ARGANZUELA,2.0,CALLE SAN ISIDORO DE SEVILLA,2.0,28005,439569,4472902,40.40454329855034,-3.712165150683624
64,Teatro Estudio 2 Manuel Galiana,ACACIAS,2.0,ARGANZUELA,2.0,CALLE MORATINES,11.0,28005,440374,4472749,40.40321881564558,-3.702674015748743
65,Tablao Flamenco Café Ziryab,ACACIAS,2.0,ARGANZUELA,2.0,PASEO ESPERANZA,17.0,28005,440164,4472643,40.4022488504113,-3.705138659259797
66,Teatro Circo Price,PALOS DE MOGUER,6.0,ARGANZUELA,2.0,RONDA ATOCHA,35.0,28012,440723,4473051,40.40596423138839,-3.698601359753866
67,Teatro. Bululú 2120,PALOS DE MOGUER,6.0,ARGANZUELA,2.0,CALLE CANARIAS,16.0,28045,440896,4472605,40.40195873806236,-3.696521252638884
68,Teatro. Artespacio Plot Point,ACACIAS,2.0,ARGANZUELA,2.0,CALLE ERCILLA,29.0,28005,440426,4472606,40.40192531437177,-3.7020477784084793
69,Teatro Corral de Cervantes,CHOPERA,3.0,ARGANZUELA,2.0,PASEO CHOPERA,10.0,28045,440676,4471620,40.39307289237465,-3.699005654074825
70,Teatro Municipal de Títeres. Parque de El Retiro,LOS JERÓNIMOS,5.0,RETIRO,3.0,AVENIDA MÉXICO,4.0,28009,441748,4474466,40.41878362561595,-3.6866519471003647
71,Fernán Gómez Centro Cultural de la Villa,RECOLETOS,1.0,SALAMANCA,4.0,PLAZA COLON,4.0,28001,441476,4475151,40.42492634761077,-3.689920851966343
72,Nuevo Teatro Alcalá,GOYA,2.0,SALAMANCA,4.0,CALLE JORGE JUAN,62.0,28009,442464,4474973,40.42340075550414,-3.678258596986864
73,Teatro Tribueñe,FUENTE DEL BERRO,3.0,SALAMANCA,4.0,CALLE SANCHO DAVILA,31.0,28028,443879,4475204,40.425569368259886,-3.661599639903205
74,Tablao Flamenco Corral de la Pacheca,GUINDALERA,4.0,SALAMANCA,4.0,CALLE ALCALA,237.0,28028,443775,4475871,40.431581087036655,-3.662863216771023
75,Teatro Pradillo,CIUDAD JARDÍN,3.0,CHAMARTIN,5.0,CALLE PRADILLO,12.0,28002,442785,4477765,40.44856560554628,-3.6747261219408607
76,Teatro Multiespacio La Strada,ARAPILES,2.0,CHAMBERI,7.0,CALLE MAGALLANES,23.0,28015,440141,4476318,40.435354235764464,-3.705754037741118
77,Teatros del Canal,ARAPILES,2.0,CHAMBERI,7.0,CALLE CEA BERMUDEZ,1.0,28003,440203,4476672,40.43854675141601,-3.705057921443053
78,Teatro Quique San Francisco,ARAPILES,2.0,CHAMBERI,7.0,CALLE GALILEO,39.0,28015,439741,4476139,40.43371190964793,-3.710454359795776
79,Sala Arapiles 16,ARAPILES,2.0,CHAMBERI,7.0,CALLE ARAPILES,16.0,28015,439935,4476072,40.43312718155775,-3.708159572592643
