id_teatro,nombre_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
0,Teatro de la Comedia. CompaÃ±Ã­a Nacional de Teatro ClÃ¡sico,CORTES,13,CENTRO,1,CALLE PRÃNCIPE,14.0,28012,440577,4474129,40.41566504361928,-3.7004107649636144
1,Teatro Karpas,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,19.0,28012,440803,4473550,40.41045615490087,-3.6977049393895824
2,Teatro Infanta Isabel,JUSTICIA,14,CENTRO,1,CALLE BARQUILLO,24.0,28004,440993,4474853,40.42221671356561,-3.6955867306586354
3,Teatro FÃ­garo - Adolfo Marsillach,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,5.0,28012,440298,4473886,40.41345601671212,-3.703676260061599
4,Teatro EspaÃ±ol,CORTES,13,CENTRO,1,CALLE PRINCIPE,25.0,28012,440597,4474036,40.41482868269558,-3.7001663599562105
5,Teatro EDP Gran VÃ­a,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
6,Teatro del Barrio,EMBAJADORES,12,CENTRO,1,CALLE ZURITA,20.0,28012,440681,4473464,40.409681819217646,-3.699123015201178
7,Teatro La CorseterÃ­a - NTF,EMBAJADORES,12,CENTRO,1,CALLE CABEZA,8.0,28012,440313,4473696,40.411745481650485,-3.703481650678806
8,Teatro de las Aguas,UNIVERSIDAD,15,CENTRO,1,CALLE DE LAS AGUAS,8.0,28005,440304,4474849,40.422131603573256,-3.7036959273154326
9,Teatro de la Escuela,UNIVERSIDAD,15,CENTRO,1,CALLE PALMA,18.0,28004,440361,4475309,40.42628172562985,-3.703059098855893
10,Teseo Teatro,PALACIO,11,CENTRO,1,RONDA SEGOVIA,61.0,28005,439256,4473343,40.40848902977015,-3.7159050283874873
11,Teatro Coliseum,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,78.0,28013,440304,4474849,40.422131603573256,-3.7036959273154326
12,Teatro Cofidis AlcÃ¡zar,CORTES,13,CENTRO,1,CALLE ALCALA,20.0,28014,440694,4474365,40.41780142775861,-3.699048171807146
13,Teatro Capitol Gran VÃ­a,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41.0,28013,440057,4474664,40.42044662928379,-3.706582132732834
14,Teatro CalderÃ³n,EMBAJADORES,12,CENTRO,1,CALLE ATOCHA,18.0,28012,440325,4473942,40.41396242769233,-3.703363300804268
15,Teatro de la Zarzuela,CORTES,13,CENTRO,1,CALLE JOVELLANOS,4.0,28014,440879,4474296,40.4171909688133,-3.69686690418468
16,Teatro la Latina,PALACIO,11,CENTRO,1,PLAZA CEBADA,2.0,28005,439863,4473661,40.411397795053,-3.708781739576842
17,Teatro Lara,UNIVERSIDAD,15,CENTRO,1,CALLE CORREDERA BAJA DE SAN PABLO,15.0,28004,440241,4474845,40.42208196713365,-3.704449834829029
18,Teatro Lope de Vega,PALACIO,11,CENTRO,1,CALLE GRAN VÃA,57.0,28013,439865,4474827,40.42189272510087,-3.7088800933302783
19,Teatro. MÃ­nima espacio escÃ©nico,EMBAJADORES,12,CENTRO,1,CALLE MALLORCA,4.0,28012,440773,4473171,40.40704888094098,-3.698011525994152
20,Teatro Victoria,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,17.0,28004,440143,4475035,40.42378660181596,-3.705611071847053
21,Teatro Valle InclÃ¡n. Centro DrÃ¡matico Nacional,EMBAJADORES,12,CENTRO,1,CALLE VALENCIA,1.0,28012,440564,4473279,40.40800690285846,-3.7004845788684912
22,Teatro Sala Mirador,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR FOURQUET,31.0,28012,440697,4473173,40.40706813699774,-3.6988988076525446
23,Teatro Rialto,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,54.0,28013,439992,4474769,40.42138841205714,-3.707377753413243
24,Teatro Reina Victoria,CORTES,13,CENTRO,1,CARRERA SAN JERONIMO,24.0,28014,440629,4474223,40.41651548060074,-3.699818451104129
25,Teatro PrÃ­ncipe Gran VÃ­a,SOL,16,CENTRO,1,CALLE TRES CRUCES,8.0,28013,440491,4474755,40.41941656735497,-3.702760005318704
26,Teatro PavÃ³n,EMBAJADORES,12,CENTRO,1,CALLE EMBAJADORES,9.0,28012,440080,4473507,40.41002883652138,-3.706199496442089
27,Teatro Nuevo Apolo,EMBAJADORES,12,CENTRO,1,PLAZA TIRSO DE MOLINA,1.0,28012,440323,4473762,40.41234075831118,-3.703369987899476
28,Teatro Nuev9 Norte,UNIVERSIDAD,15,CENTRO,1,CALLE NORTE,9.0,28015,439975,4475283,40.4260176028424,-3.70761486653819
29,Teatro MuÃ±oz Seca,SOL,16,CENTRO,1,PLAZA CARMEN,1.0,28013,440336,4474436,40.41840439358014,-3.703279899159383
30,Teatro Monumental,CORTES,13,CENTRO,1,CALLE ATOCHA,65.0,28012,440680,4473775,40.41248873703834,-3.699161734460963
31,Teatro MarÃ­a Guerrero.,JUSTICIA,14,CENTRO,1,CALLE TAMAYO Y BAUS,4.0,28004,441207,4474927,40.42288948179915,-3.693071021887218
32,Teatro Marquina,JUSTICIA,14,CENTRO,1,CALLE PRIM,11.0,28004,441148,4474824,40.42195750772574,-3.693745153154264
33,Teatro Maravillas,UNIVERSIDAD,15,CENTRO,1,CALLE MANUELA MALASAÃA,6.0,28004,440360,4475576,40.4286757607178,-3.703103946758172
34,Teatro Bellas Artes,CORTES,13,CENTRO,1,CALLE MARQUES DE CASA RIERA,2.0,28014,440918,4474423,40.41833781596964,-3.6964190351426174
35,Teatro ArlequÃ­n Gran VÃ­a,PALACIO,11,CENTRO,1,CALLE SAN BERNARDO,5.0,28013,439913,4474730,40.421022372676056,-3.708305147545997
36,Theatre for the people,UNIVERSIDAD,15,CENTRO,1,PLAZA CARLOS CAMBRONERO,5.0,28004,440289,4474961,40.42313947499592,-3.703883251330829
37,Sala de Teatro La Escalera de Jacob,EMBAJADORES,12,CENTRO,1,CALLE LAVAPIES,9.0,28012,440367,4473650,40.41133761512936,-3.7028377820426464
38,Soho Club Teatro,PALACIO,11,CENTRO,1,PLAZA ESPAÃA,6.0,28008,439605,4474904,40.4225784750317,-3.711936020558947
39,Sala Teatro Azarte,JUSTICIA,14,CENTRO,1,CALLE SAN MARCOS,19.0,28004,440756,4474766,40.42140719770071,-3.698360306512048
40,Tablao CafetÃ­n La Quimera,SOL,16,CENTRO,1,CALLE CUCHILLEROS,7.0,28005,439935,4474010,40.41455139884737,-3.7079639628064585
41,Tablao Flamenco 1911,CORTES,13,CENTRO,1,PLAZA SANTA ANA,15.0,28012,440490,4474047,40.414922971596944,-3.701424270015707
42,Tablao Flamenco Cardamomo,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15.0,28014,440650,4474106,40.415463057589214,-3.699548238936712
43,Tablao Flamenco Corral de la MorerÃ­a,PALACIO,11,CENTRO,1,CALLE MORERIA,17.0,28005,439399,4473810,40.412706403145705,-3.7142642886799
44,Tablao flamenco de la Villa,PALACIO,11,CENTRO,1,CALLE TORIJA,7.0,28013,439731,4474700,40.42074803731289,-3.7104358351726
45,Tablao Flamenco La Carmela,SOL,16,CENTRO,1,CALLE VICTORIA,4.0,28012,440464,4474201,40.41630783060771,-3.701737920263045
46,Tablao Flamenco El Lucero,CORTES,13,CENTRO,1,CALLE MARQUES DE CUBAS,25.0,28014,440974,4474192,40.41626690688702,-3.6957342044022425
47,Off Latina,PALACIO,11,CENTRO,1,CALLE MANCEBOS,4.0,28005,439592,4473735,40.41204479812585,-3.711982569899289
48,Microteatro Por Dinero,UNIVERSIDAD,15,CENTRO,1,CALLE LORETO Y CHICOTE,9.0,28004,440272,4474782,40.42152574011699,-3.704066823193944
49,El umbral de la primavera,EMBAJADORES,12,CENTRO,1,CALLE PRIMAVERA,11.0,28012,440573,4473448,40.40952998024258,-3.700394299299595
50,DT Espacio EscÃ©nico,JUSTICIA,14,CENTRO,1,CALLE REINA,9.0,28004,440593,4474656,40.42040457289982,-3.700283103997518
51,Tablao Flamenco Torero,SOL,16,CENTRO,1,CALLE CRUZ,26.0,28012,440382,4474047,40.41491309678971,-3.70269441327852
52,Tablao Flamenco Torres Bermejas,SOL,16,CENTRO,1,CALLE MESONERO ROMANOS,11.0,28013,440261,4474600,40.419885409942566,-3.7041793844860695
53,Teatro Alfil,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,10.0,28004,440240,4474963,40.4231448936827,-3.704472711431984
54,PequeÃ±o Teatro Gran VÃ­a,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
55,Teatro Lagrada,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,20.0,28005,440356,4472691,40.40268595360097,-3.70289238039068
56,Naves EspaÃ±ol en Matadero,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,14.0,28045,440825,4471546,40.39241374953321,-3.697247685884226
57,El Pasillo Verde Teatro,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,23.0,28005,440246,4472488,40.40085850941741,-3.704147130970605
58,Sala de teatro. La Usina,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,4.0,28012,440590,4472681,40.402621678076535,-3.7001223561771193
59,Sala Nave 73,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,5.0,28012,440712,4472741,40.40316180456706,-3.6987020172137433
