nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Lacoma,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,3,"-3,723,059,488.00","4,048,483,196.00",1.456.885
Lago,L10,CASA DE CAMPO,1,MONCLOA-ARAVACA,9,24,"-3,734,850,338.00","4,041,649,073.00",1.580.090
Laguna,L6,LUCERO,3,LATINA,10,1,"-3,743,863,647.00","4,039,908,529.00",3.225.039
Las Musas,L7,ROSAS,5,SAN BLAS - CANILLEJAS,20,23,"-3,607,704.00","4,043,262,315.00",1.699.016
Las Rosas,L2,ROSAS,5,SAN BLAS - CANILLEJAS,20,1,"-3,603,045,624.00","4,042,375,139.00",1.631.966
Las Suertes,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,32,"-3,599,602,932.00","4,036,321,456.00",2.973.165
Las Tablas,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,9,"-3,669,415,187.00","405,082,077.00",2.243.167
Lavapies,L3,EMBAJADORES,2,CENTRO,1,7,"-3,700,756,459.00","4,040,848,315.00",5.080.616
Legazpi,L3/L6,LEGAZPI,4,ARGANZUELA,2,11,"-3,695,134,549.00","4,039,114,152.00",18.313.451
Lista,L4,LISTA,5,SALAMANCA,4,9,"-3,675,363,123.00","4,042,916,929.00",1.967.919
Lucero,L6,LUCERO,3,LATINA,10,2,"-3,745,580,261.00","404,047,554.00",5.054.775
Manoteras,L4,APOSTOL SANTIAGO,5,HORTALEZA,16,22,"-3,662,953,756.00","4,047,667,604.00",1.318.832
Manuel Becerra,L2/L6,GUINDALERA,4,SALAMANCA,4,7,"-3,669,204,739.00","4,042,790,792.00",9.284.711
Mar de Cristal,L4/L8,PINAR DEL REY,4,HORTALEZA,16,18,"-3,638,170,848.00","404,693,649.00",6.172.476
Marques de Vadillo,L5,SAN ISIDRO,3,CARAMBACHEL,11,10,"-3,716,255,149.00","4,039,749,269.00",4.880.497
Mendez Alvaro,L6,LEGAZPI,4,ARGANZUELA,2,21,"-3,678,027,259.00","4,039,563,943.00",8.974.299
Menendez Pelayo,L1,PACIFICO,1,RETIRO,3,20,"-3,680,742,777.00","4,040,453,297.00",2.819.370
Miguel Hernandez,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,27,"-3,639,738,261.00","4,038,737,518.00",3.376.134
Mirasierra,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,"-3,716,298,041.00","4,049,094,886.00",1.365.009
Moncloa,L3/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,1,"-3,719,117,747.00","4,043,454,151.00",29.762.478
Montecarmelo,L10,EL GOLOSO,8,FUENCARRAL-EL PARDO,8,10,"-3,695,902,925.00","4,050,528,733.00",1.497.868
Noviciado,L2,UNIVERSIDAD,5,CENTRO,1,16,"-3,707,427,188.00","4,042,486,766.00",3.478.374
Nueva Numancia,L1,NUMANCIA,6,PUENTE DE VALLECAS,13,23,"-3,664,390,076.00","4,039,581,853.00",6.293.417
Nuevos Ministerios,L6/L8/L10,CUATRO CAMINOS,2,TETUAN,6,12,"-3,691,982,249.00","4,044,664,658.00",29.885.885
Nunez de Balboa,L5/L9,CASTELLANA,6,SALAMANCA,4,21,"-3,683,196,798.00","4,043,284,731.00",7.850.348
O'Donnell,L6,IBIZA,4,RETIRO,3,17,"-3,668,976,287.00","4,042,241,912.00",5.222.459
Opanel,L6,OPANEL,2,CARAMBACHEL,11,26,"-3,723,445,102.00","4,038,622,525.00",3.585.408
Opera,L2/L5,PALACIO,1,CENTRO,1,14,"-3,709,330,457.00","4,041,823,746.00",14.850.637
Oporto,L5/L6,OPANEL,2,CARAMBACHEL,11,8,"-3,731,230,185.00","403,883,975.00",15.822.483
Pacifico,L1/L6,PACIFICO,1,RETIRO,3,21,"-3,674,777,864.00","4,040,175,113.00",18.460.266
Paco de Lucia,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,"-3,709,227,739.00","404,996,054.00",1.342.729
Palos de la Frontera,L3,PALOS DE LA FRONTERA,6,ARGANZUELA,2,9,"-3,693,954,377.00","4,040,291,139.00",3.471.551
Pan Bendito,L11,ABRANTES,7,CARAMBACHEL,11,3,"-3,734,388,262.00","403,758,742.00",845.508
Parque de las Avenidas,L7,GUINDALERA,4,SALAMANCA,4,16,"-36,629,736.00","4,043,947,143.00",1.823.405
Parque de Santa Maria,L4,PINAR DEL REY,4,HORTALEZA,16,20,"-3,645,263,316.00","4,047,719,126.00",1.543.689
Pavones,L9,PAVONES,1,MORATALAZ,14,20,"-3,635,146,751.00","4,040,061,722.00",2.736.802
Penagrande,L7,PENAGRANDE,3,FUENCARRAL-EL PARDO,8,5,"-371,593,554.00","4,047,592,052.00",3.028.773
Pinar de Chamartin,L1/L4,COSTILLARES,9,CIUDAD LINEAL,15,1,"-366,706,111.00","4,048,013,631.00",6.222.074
Pinar del Rey,L8,CANILLAS,3,HORTALEZA,16,6,"-3,648,056,929.00","4,046,810,839.00",2.153.834
Pio XII,L9,NUEVA ESPANA,5,CHAMARTIN,5,8,"-3,676,087,989.00","4,046,251,995.00",1.908.982
Piramides,L5,CHOPERA,3,ARGANZUELA,2,11,"-3,710,925,594.00","4,040,251,939.00",2.216.934
Pitis,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,"-3,725,570,035.00","40,495,374.00",612.409
Plaza de Castilla,L1/L9/L10,CASTILLA,6,CHAMARTIN,5,4,"-3,689,162,512.00","404,668,494.00",25.135.236
Plaza de España,Linea 3/L10,ARGUELLES,2,MONCLOA-ARAVACA,9,4,"-3,710,927,396.00","4,042,369,283.00",17.006.552
Plaza Eliptica,Linea 6/L11,ABRANTES,7,CARAMBACHEL,11,25,"-3,718,381,091.00","4,038,449,275.00",16.365.931
Portazgo,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,24,"-3,658,907,634.00","4,039,288,919.00",3.704.812
