id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,restaurante,geometry
32,HOTEL,SI,JUSTICIA            ,4,CENTRO              ,1,CALLE                    MEJIA LEQUERICA                                   ,10,440748.6,4475388.5,SI,POINT (-3.6985056257691165 40.42702239155958)
33,VIVIENDA TURISTICA,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    TESORO                                            ,21,440171.6,4475168.5,NO,POINT (-3.7052866012831918 40.42499923645091)
34,APART-HOTEL,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    CORREDERA BAJA DE SAN PABLO                       ,53,440388.6,4475027.5,NO,POINT (-3.702715462425051 40.42374461973978)
35,APART-HOTEL,NO,SOL                 ,6,CENTRO              ,1,CALLE                    ARENAL                                            ,10,440127.6,4474292.5,NO,POINT (-3.7057227854274846 40.41710465978814)
36,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,29,439965.6,4474949.5,SI,POINT (-3.707694178294755 40.423011546333186)
37,HOTEL,SI,CORTES              ,3,CENTRO              ,1,PASEO                    PRADO                                             ,32,441191.6,4473631.5,SI,POINT (-3.693121070927772 40.41122591221683)
38,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    GRAN VIA                                          ,31,440296.6,4474612.5,SI,POINT (-3.7037609439595034 40.41999951097012)
40,HOTEL,SI,JUSTICIA            ,4,CENTRO              ,1,CALLE                    BARQUILLO                                         ,19,440954.6,4474828.5,SI,POINT (-3.6960252910194606 40.421992292488376)
41,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CARLOS ARNICHES                                   ,24,439890.6,4473236.5,NO,POINT (-3.708416360761926 40.407574632248014)
43,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    VENTURA DE LA VEGA                                ,5,440708.6,4474144.5,NO,POINT (-3.698861162625505 40.41581300106306)
44,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    ATOCHA                                            ,45,440537.6,4473865.5,NO,POINT (-3.700850499407743 40.413287435099846)
45,COLEGIO MAYOR/RESIDENCIA DE ESTUDIANTE,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    SAN BUENAVENTURA                                  ,9,439332.6,4473682.5,NO,POINT (-3.7150346810701653 40.41155192870407)
46,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    ABADA                                             ,7,440254.6,4474519.5,SI,POINT (-3.7042472521151955 40.41915870918474)
47,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    ATOCHA                                            ,81,440783.6,4473706.5,SI,POINT (-3.6979364385983233 40.41187262360569)
48,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    MARQUES DE CASA RIERA                             ,4,440931.6,4474365.5,SI,POINT (-3.6962533933344854 40.4178197335138)
49,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    PEÃA DE FRANCIA                                   ,6,440084.94,4473236.0,NO,POINT (-3.7061260944432273 40.40758413749057)
50,HOTEL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CABESTREROS                                       ,1,440247.03,4473435.0,NO,POINT (-3.704234613449457 40.4093884756046)
52,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    GRAN VIA                                          ,72,439798.6,4474936.5,SI,POINT (-3.70966142464579 40.42288237014013)
53,VIVIENDA TURISTICA,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    JESUS DEL VALLE                                   ,23,440292.6,4475142.5,NO,POINT (-3.70385785444211 40.42477370893084)
54,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,61,440022.6,4475308.5,SI,POINT (-3.7070561664846458 40.42624969154764)
55,APART-HOTEL,NO,SOL                 ,6,CENTRO              ,1,CALLE                    JARDINES                                          ,16,440537.6,4474488.5,NO,POINT (-3.7009087364733353 40.41889971672738)
56,APART-HOTEL,NO,SOL                 ,6,CENTRO              ,1,CALLE                    EL SALVADOR                                       ,4,440060.6,4473979.5,NO,POINT (-3.7064829722825223 40.414280186546335)
57,APART-HOTEL,NO,SOL                 ,6,CENTRO              ,1,CALLE                    HILERAS                                           ,8,439935.6,4474308.5,NO,POINT (-3.7079872585319538 40.41723495987051)
