nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Sala El Intruso,SALA CONCIERTOS,37,JUSTICIA,14,CENTRO,1,CALLE AUGUSTO FIGUEROA,3.0,28004,440603,4474946,40.42302865076366,-3.700179827881794
Sala El Despertar,SALA CONCIERTOS,38,EMBAJADORES,12,CENTRO,1,CALLE TORRECILLA DEL LEAL,18.0,28012,440648,4473593,40.41084840172144,-3.69951377517164
Cafi© Berli­n,SALA CONCIERTOS,39,SOL,16,CENTRO,1,COSTANILLA ANGELES,20.0,28013,439941,4474569,40.41958857138475,-3.7079430927433954
Cafi© Central,SALA CONCIERTOS,40,CORTES,13,CENTRO,1,PLAZA ANGEL,10.0,28012,440450,4473965,40.414178504157086,-3.701904023779484
Cafi© La Palma,SALA CONCIERTOS,41,UNIVERSIDAD,15,CENTRO,1,CALLE PALMA,62.0,28015,439936,4475369,40.42678043394236,-3.708094409489715
Sala Contraclub,SALA CONCIERTOS,42,PALACIO,11,CENTRO,1,CALLE BAILEN,16.0,28005,439426,4473790,40.41252819937501,-3.71394417661732
Independance Club,SALA CONCIERTOS,43,CORTES,13,CENTRO,1,CALLE ATOCHA,127.0,28012,441210,4473454,40.40963069733981,-3.6928774759221272
Tablao Flamenco El Lucero,,44,CORTES,13,CENTRO,1,CALLE MARQUES DE CUBAS,25.0,28014,440974,4474192,40.41626690688702,-3.6957342044022425
Sala Maravillas,SALA CONCIERTOS,45,UNIVERSIDAD,15,CENTRO,1,CALLE SAN VICENTE FERRER,33.0,28004,440254,4475253,40.42576766014132,-3.7043188911922034
Tablao flamenco de la Villa,,46,PALACIO,11,CENTRO,1,CALLE TORIJA,7.0,28013,439731,4474700,40.42074803731289,-3.7104358351726
Tablao Flamenco La Carmela,,47,SOL,16,CENTRO,1,CALLE VICTORIA,4.0,28012,440464,4474201,40.41630783060771,-3.701737920263045
Teatro Nuev9 Norte,,48,UNIVERSIDAD,15,CENTRO,1,CALLE NORTE,9.0,28015,439975,4475283,40.4260176028424,-3.70761486653819
Teatro Nuevo Apolo,,49,EMBAJADORES,12,CENTRO,1,PLAZA TIRSO DE MOLINA,1.0,28012,440323,4473762,40.41234075831118,-3.703369987899476
Teatro Pavi³n,,50,EMBAJADORES,12,CENTRO,1,CALLE EMBAJADORES,9.0,28012,440080,4473507,40.41002883652138,-3.706199496442089
Teatro Pri­ncipe Gran Vi­a,,51,SOL,16,CENTRO,1,CALLE TRES CRUCES,8.0,28013,440491,4474755,40.41941656735497,-3.702760005318704
Teatro Reina Victoria,,52,CORTES,13,CENTRO,1,CARRERA SAN JERONIMO,24.0,28014,440629,4474223,40.41651548060074,-3.699818451104129
Teatro Rialto,,53,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,54.0,28013,439992,4474769,40.42138841205714,-3.707377753413243
Teatro Sala Mirador,,54,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR FOURQUET,31.0,28012,440697,4473173,40.40706813699774,-3.6988988076525446
Teatro Valle Incli¡n. Centro Dri¡matico Nacional,,55,EMBAJADORES,12,CENTRO,1,CALLE VALENCIA,1.0,28012,440564,4473279,40.40800690285846,-3.7004845788684912
Teatro Victoria,,56,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,17.0,28004,440143,4475035,40.42378660181596,-3.705611071847053
Teatro. Mi­nima espacio esci©nico,,57,EMBAJADORES,12,CENTRO,1,CALLE MALLORCA,4.0,28012,440773,4473171,40.40704888094098,-3.698011525994152
Teatro Lope de Vega,,58,PALACIO,11,CENTRO,1,CALLE GRAN VÃA,57.0,28013,439865,4474827,40.42189272510087,-3.7088800933302783
