NMT;anio;mes;dia;tipo;LAEQ;DIRECCION;X (ETRS89);Y (ETRS89)
16;2021;1;1;N;62.1;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
16;2021;1;1;T;61.1;Arturo Soria Frente al nº 2 de la Calle del Vizconde de los Asilos;445786;4476796
17;2021;1;1;D;55.9;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;1;E;62.1;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;1;N;71.3;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
17;2021;1;1;T;66.9;Villaverde Frente al nº 61 de la Calle de Palomares;439421;4466532
18;2021;1;1;D;54.1;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;1;E;52.4;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;1;N;85.6;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
18;2021;1;1;T;80.9;Farolillo Frente al nº1 de la Calle Farolillo;437892;4471833
19;2021;1;1;D;56;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;1;E;57.3;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;1;N;61.1;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
19;2021;1;1;T;58.4;Alto de Extremadura Frente al nº 4 de la Calle Hilario Sangrador;437050;4473292
20;2021;1;1;D;58.6;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;1;E;58.7;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;1;N;64.4;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
20;2021;1;1;T;61;Avenida de Moratalaz Junto al lateral del nº 109 de la Calle Camino de los Viñateros;445246;4473237
24;2021;1;1;D;46.3;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;1;E;42.9;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;1;N;48.2;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
24;2021;1;1;T;46.7;Casa de Campo Mirador junto a la Estación Teleférico Terminal;436599;4474572
25;2021;1;1;D;64.7;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;1;E;65.4;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;1;N;65.2;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
25;2021;1;1;T;65.1;Santa Eugenia Parque junto al nº 1 de la Calle Poza de la Sal;448853;4470004
26;2021;1;1;D;58.1;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;1;E;57.9;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;1;N;57;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
26;2021;1;1;T;57.8;Embajada Parque junto al nº 2 de la Calle Soto Hidalgo;450804;4478900
27;2021;1;1;D;54.5;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;1;E;55.3;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;1;N;75.4;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
27;2021;1;1;T;70.6;Barajas Pueblo Frente al nº 21 de la Calle Júpiter;450835;4480854
28;2021;1;1;D;65.1;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
