id_estacion,nombre_estacion,barrio,id_barrio,distrito,id_distrito,orden_paradas,trafico,longitud,latitud
127,Carpetana,SAN ISIDRO,114,CARAMBACHEL,11,28,5.569.768,40.392,-3.74
128,Opanel,OPANEL,112,CARAMBACHEL,11,26,3.585.408,40.386,-3.723
129,Eugenia de Montijo,VISTA ALEGRE,114,CARAMBACHEL,11,5,1.930.562,40.384,-3.75
130,La Peseta,BUENAVISTA,116,CARAMBACHEL,11,6,1.314.439,40.363,-3.757
131,Almendrales,ALMENDRALES,124,USERA,12,12,3.471.372,40.383,-3.698
132,Usera,MOSCARDO,125,USERA,12,24,7.515.213,40.387,-3.7
133,San Fermin-Orcasur,ORCASUR,122,USERA,12,14,3.514.558,40.369,-3.69
134,Hospital 12 de Octubre,SAN FERMIN,123,USERA,12,13,2.960.698,40.375,-3.695
135,Alto del Arenal,PORTAZGO,135,TETUAN,13,26,3.085.187,40.389,-3.64
136,Buenos Aires,PORTAZGO,135,PUENTE DE VALLECAS,13,25,2.559.265,40.391,-3.653
137,Puente de Vallecas,SAN DIEGO,132,PUENTE DE VALLECAS,13,22,6.114.428,40.398,-3.668
138,Portazgo,PORTAZGO,135,PUENTE DE VALLECAS,13,24,3.704.812,40.392,-3.658
139,Nueva Numancia,NUMANCIA,136,PUENTE DE VALLECAS,13,23,6.293.417,40.396,-3.664
140,Miguel Hernandez,PORTAZGO,135,PUENTE DE VALLECAS,13,27,3.376.134,40.387,-3.639
141,Pavones,PAVONES,141,MORATALAZ,14,20,2.736.802,40.4,-3.635
142,Vinateros,VINATEROS,146,MORATALAZ,14,18,2.577.631,40.41,-3.65
143,Artilleros,HORCAJO,142,MORATALAZ,14,19,3.267.306,40.45,-3.64
144,La Almudena,PUEBLO NUEVO,152,CIUDAD LINEAL,15,4,1.745.372,40.423,-3.639
145,Ciudad Lineal,QUINTANA,153,CIUDAD LINEAL,15,27,4.122.778,40.437,-3.638
146,La Elipa,VENTAS,151,CIUDAD LINEAL,15,5,4.106.739,40.426,-3.65
147,El Carmen,QUINTANA,153,CIUDAD LINEAL,15,24,4.521.912,40.431,-3.657
148,Barrio de la ConcepciÃ³n,LA CONCEPCION,154,CIUDAD LINEAL,15,17,3.038.122,40.438,-3.65
149,Ascao,PUEBLO NUEVO,152,CIUDAD LINEAL,15,19,3.182.987,40.43,-3.641
150,Quintana,QUINTANA,153,CIUDAD LINEAL,15,25,3.614.161,40.433,-3.647
151,Arturo Soria,COLINA,157,CIUDAD LINEAL,15,15,2.531.498,40.455,-3.65
152,GarcÃ­a Noblejas,PUEBLO NUEVO,152,CIUDAD LINEAL,15,20,3.177.105,40.429,-3.631
153,Pueblo Nuevo,PUEBLO NUEVO,152,CIUDAD LINEAL,15,26,9.317.967,40.435,-3.64
154,Pinar de Chamartin,COSTILLARES,159,CIUDAD LINEAL,15,1,6.222.074,40.48,-3.667
155,Manoteras,APOSTOL SANTIAGO,165,HORTALEZA,16,22,1.318.832,40.476,-3.662
156,Parque de Santa Maria,PINAR DEL REY,164,HORTALEZA,16,20,1.543.689,40.477,-3.645
157,Mar de Cristal,PINAR DEL REY,164,HORTALEZA,16,18,6.172.476,40.469,-3.638
158,San Lorenzo,PINAR DEL REY,164,HORTALEZA,16,19,1.813.279,40.474,-3.639
159,Pinar del Rey,CANILLAS,163,HORTALEZA,16,6,2.153.834,40.468,-3.648
160,Canillas,CANILLAS,163,HORTALEZA,16,17,3.003.992,40.464,-3.635
161,Esperanza,CANILLAS,163,HORTALEZA,16,16,1.929.276,40.459,-3.645
162,Hortaleza,PINAR DEL REY,164,HORTALEZA,16,21,1.775.639,40.475,-3.652
163,Villaverde Bajo-Cruce,LOS ROSALES,174,VILLAVERDE,17,16,5.896.901,40.35,-3.69
164,Ciudad de los Angeles,ANGELES,175,VILLAVERDE,17,15,4.318.632,40.359,-3.69
165,Villaverde Alto,VILLAVERDE ALTO,171,VILLAVERDE,17,18,4.325.654,40.341,-3.711
166,San Cristobal,SAN CRISTOBAL,172,VILLAVERDE,17,17,2.662.348,40.341,-3.692
167,Las Suertes,ENSANCHE VALLECAS,183,VILLA DE VALLECAS,18,32,2.973.165,40.363,-3.599
168,Congosto,ENSANCHE VALLECAS,183,VILLA DE VALLECAS,18,30,2.126.737,40.372,-3.618
