nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Gregorio Maranon,L7/L10,ALMAGRO,4,CHAMBERI,7,13,-3.691,40.438,17.670.735
Guzman el Bueno,L6/L7,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,10,-3.711,40.446,8.465.631
Herrera Oria,L9,LA PAZ,5,FUENCARRAL-EL PARDO,8,3,-3.707,40.484,1.965.559
Hortaleza,L4,PINAR DEL REY,4,HORTALEZA,16,21,-3.652,40.475,1.775.639
Hospital 12 de Octubre,L3,SAN FERMIN,3,USERA,12,13,-3.695,40.375,2.960.698
Ibiza,L9,IBIZA,4,RETIRO,3,15,-3.678,40.418,2.428.457
Iglesia,L1,TRAFALGAR,3,CHAMBERI,7,11,-3.698,40.434,4.470.158
Islas Filipinas,L7,VALLEHERMOSO,6,CHAMBERI,7,10,-3.713,40.439,5.356.990
La Almudena,L2,PUEBLO NUEVO,2,CIUDAD LINEAL,15,4,-3.639,40.423,1.745.372
La Elipa,L2,VENTAS,1,CIUDAD LINEAL,15,5,-3.650,40.426,4.106.739
La Gavia,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,31,-3.612,40.369,1.562.859
La Latina,L5,PALACIO,1,CENTRO,1,14,-3.708,40.411,4.441.399
La Peseta,L11,BUENAVISTA,6,CARAMBACHEL,11,6,-3.757,40.363,1.314.439
Lacoma,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,3,-3.723,40.484,1.456.885
Lago,L10,CASA DE CAMPO,1,MONCLOA-ARAVACA,9,24,-3.723,40.416,1.580.090
Laguna,L6,LUCERO,3,LATINA,10,1,-3.743,40.399,3.225.039
Las Musas,L7,ROSAS,5,SAN BLAS - CANILLEJAS,20,23,-3.607,40.432,1.699.016
Las Rosas,L2,ROSAS,5,SAN BLAS - CANILLEJAS,20,1,-3.603,40.423,1.631.966
Las Suertes,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,32,-3.599,40.363,2.973.165
Las Tablas,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,9,-3.669,40.508,2.243.167
Lavapies,L3,EMBAJADORES,2,CENTRO,1,7,-3.700,40.408,5.080.616
Legazpi,L3/L6,LEGAZPI,4,ARGANZUELA,2,11,-3.695,40.391,18.313.451
Lista,L4,LISTA,5,SALAMANCA,4,9,-3.675,40.429,1.967.919
Lucero,L6,LUCERO,3,LATINA,10,2,-3.745,40.404,5.054.775
Manoteras,L4,APOSTOL SANTIAGO,5,HORTALEZA,16,22,-3.662,40.476,1.318.832
Manuel Becerra,L2/L6,GUINDALERA,4,SALAMANCA,4,7,-3.669,40.427,9.284.711
Mar de Cristal,L4/L8,PINAR DEL REY,4,HORTALEZA,16,18,-3.638,40.469,6.172.476
Marques de Vadillo,L5,SAN ISIDRO,3,CARAMBACHEL,11,10,-3.716,40.397,4.880.497
Mendez Alvaro,L6,LEGAZPI,4,ARGANZUELA,2,21,-3.678,40.395,8.974.299
Menendez Pelayo,L1,PACIFICO,1,RETIRO,3,20,-3.680,40.404,2.819.370
Miguel Hernandez,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,27,-3.639,40.387,3.376.134
Mirasierra,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,-3.716,40.490,1.365.009
Moncloa,L3/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,1,-3.719,40.434,29.762.478
Montecarmelo,L10,EL GOLOSO,8,FUENCARRAL-EL PARDO,8,10,-3.695,40.505,1.497.868
Noviciado,L2,UNIVERSIDAD,5,CENTRO,1,16,-3.707,40.424,3.478.374
Nueva Numancia,L1,NUMANCIA,6,PUENTE DE VALLECAS,13,23,-3.664,40.396,6.293.417
Nuevos Ministerios,L6/L8/L10,CUATRO CAMINOS,2,TETUAN,6,12,-3.691,40.446,29.885.885
Nunez de Balboa,L5/L9,CASTELLANA,6,SALAMANCA,4,21,-3.683,40.423,7.850.348
O'Donnell,L6,IBIZA,4,RETIRO,3,17,-3.668,40.422,5.222.459
Opanel,L6,OPANEL,2,CARAMBACHEL,11,26,-3.723,40.386,3.585.408
Opera,L2/L5,PALACIO,1,CENTRO,1,14,-3.709,40.418,14.850.637
Oporto,L5/L6,OPANEL,2,CARAMBACHEL,11,8,-3.731,40.388,15.822.483
Pacifico,L1/L6,PACIFICO,1,RETIRO,3,21,-3.674,40.401,18.460.266
Paco de Lucia,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,-3.709,40.499,1.342.729
